Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པར་གྱུར་པས་མ་འཚལ་བ་དང་། བག་མ་,མཆིས་ དེ་,,མཆིས་པ་,མཆིས་ དེ་,ལ་སོགས་པའི་དབང་གིས། ལུས་དང་། ངག་,K,g,≠,,,,,,,p=n d 82.61%,p ; d མཆིས་པ(386), མ་མཆིས་པ(316); n ; ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,66
གསུམ་བཟླས། ཡང་དེའི་རྗེས་ལ་དཀོན་མཆོག་གསུམ་,གྱིས་,,གྱི་,གྱིས་,བདེན་པ་དང་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་,K,p,,,,,,,,p=n d 82.61%,p གྱིས(7492), གསུམ་གྱིས(79); d གྱི(3024), གསུམ་གྱི(44), གྱི་བདེན་པ(64); n གྱིས(7492), གསུམ་གྱིས(79); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,4
ཚིག་འདི་སྐད་ཅེས། ཤར་ཕྱོགས་ཀྱི་འཇིག་རྟེན་,གྱིས་,,གྱི་,གྱིས་,ཁམས་གཞན་གྱིས་མི་ཐུབ་པ་ན་དེ་བཞིན་གཤེགས་,K,p,,,,,,,,p=n d 82.61%,p གྱིས(7492), འཇིག་རྟེན་གྱིས(260); d གྱི(3024), གྱི་ཁམས(14578), འཇིག་རྟེན་གྱི(40), འཇིག་རྟེན་གྱི་ཁམས(13473), ཀྱི་འཇིག་རྟེན་གྱི་ཁམས(1435), འཇིག་རྟེན་གྱི་ཁམས་གཞན(228); n གྱིས(7492), འཇིག་རྟེན་གྱིས(260); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,7
ན། སེམས་ཅན་ལས་ཀྱི་སྒྲིབ་པ་སྣ་ཚོགས་,ཀྱི་,,ཀྱིས་,ཀྱི་,བསྒྲིབས་པ། ནད་སྣ་ཚོགས་ཀྱིས་ལུས་གཟིར་བ,K,p,,,,,,,,p=n d 82.61%,p ཀྱི(5256), སྣ་ཚོགས་ཀྱི(1491); d ཀྱིས(6156), སྣ་ཚོགས་ཀྱིས(148); n ཀྱི(5256), སྣ་ཚོགས་ཀྱི(1491); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,10
པ་སྣ་ཚོགས་ཀྱིས་བསྒྲིབས་པ། ནད་སྣ་ཚོགས་,ཀྱི་,,ཀྱིས་,ཀྱི་,ལུས་གཟིར་བ། མྱ་ངན་དང་སྡུག་བསྔལ་སྣ་,K,p,,,,,,,,p=n d 82.61%,p ཀྱི(5256), ཀྱི་ལུས(1353), སྣ་ཚོགས་ཀྱི(1491); d ཀྱིས(6156), ཀྱིས་ལུས(380), སྣ་ཚོགས་ཀྱིས(148); n ཀྱི(5256), ཀྱི་ལུས(1353), སྣ་ཚོགས་ཀྱི(1491); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,11
བདེ་བའི་སླད་དུ། དེ་བཞིན་གཤེགས་པ་རྣམས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ཐབས་མཁས་པ་མང་པོ་དང་། སྔོན་གྱི་སྨོན་,K,p,,,,,,,,p=n d 82.61%,p ཀྱིས(6156), ཀྱིས་ཐབས(48), རྣམས་ཀྱིས(952); d ཀྱི(5256), ཀྱི་ཐབས(189), རྣམས་ཀྱི(571), རྣམས་ཀྱི་ཐབས(78); n ཀྱིས(6156), ཀྱིས་ཐབས(48), རྣམས་ཀྱིས(952); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,12
ངན་ལས་འདས་པའི་ཚུལ་བསྟན་ཀྱང་འཇིག་རྟེན་གྱི་,ལས་,,གྱི་,ལས་,ཁམས་གཞན་དག་ཏུ་དེ་བཞིན་གཤེགས་པའི་རྣམ་པར་,K,,≠,,,,,,,p=n d 82.61%,p ལས(5885), འཇིག་རྟེན་ལས(1690); d གྱི(3024), གྱི་ཁམས(14578), འཇིག་རྟེན་གྱི(40), འཇིག་རྟེན་གྱི་ཁམས(13473), ཀྱང་འཇིག་རྟེན་གྱི་ཁམས(183), འཇིག་རྟེན་གྱི་ཁམས་གཞན་དག(87); n ལས(5885), འཇིག་རྟེན་ལས(1690); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,18
བྱིན་གྱིས་བརླབ་པར་ཅི་གནང་། སྔོན་དེ་བཞིན་,གཤེགས་ ཀྱིས་,,གཤེགས་པ་,གཤེགས་ ཀྱིས་,བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་,K,,≠,,,,,,,p=n d 82.61%,p གཤེགས་ཀྱིས(51); d གཤེགས་པ(503), བཞིན་གཤེགས་པ(39167); n གཤེགས་ཀྱིས(51); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,28
པ། བདེ་བའི་ཡོ་བྱད་ཕུན་སུམ་ཚོགས་པ་,ཚོགས་པ་,,ཚོགས་པ་,ཚོགས་ ལོ་,ཐམས་ཅད་དང་། གཟུངས་དང་རིག་པའི་མཐུ་དང་,K,,≠,,,,,,,p=d n 11.59%,p ཚོགས་པ(488), ཚོགས་པ་ཐམས་ཅད(159), ཕུན་སུམ་ཚོགས་པ(252), ཕུན་སུམ་ཚོགས་པ་ཐམས་ཅད(147); d ཚོགས་པ(488), ཚོགས་པ་ཐམས་ཅད(159), ཕུན་སུམ་ཚོགས་པ(252), ཕུན་སུམ་ཚོགས་པ་ཐམས་ཅད(147); n ; ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,35
གིས་ཐོག་མ་མ་མཆིས་པ་ནས་འཁོར་བ་ནས་,དེ་,,ནས་,དེ་,འཁོར་བའི་ཚེ་རབས་ཐམས་ཅད་དུ་སྡིག་པ་མི་,K,,≠,,,,,,,p=n d 82.61%,p དེ(1), འཁོར་བ་དེ(50); d ནས(35333), ནས་འཁོར་བ(80); n དེ(1), འཁོར་བ་དེ(50); ,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།,36
