Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དངོས་པོ་རྟོག་པ་མེད་པའི་ཕྱིར་རོ། །དེ་,ལས་,,ལ་,ལས་,བྱུང་བའི་རྡོ་རྗེ་སྙིང་པོ་ནི་མི་ཆོད་པ་,K,g,,,,,,,,p=n d 20.26%,p ལས(5885), དེ་ལས(5447), ལས་བྱུང་བ(441), དེ་ལས་བྱུང་བ(43), དེ་ལས་བྱུང་བའི(43); d ལ(33965), དེ་ལ(763); n ལས(5885), དེ་ལས(5447), ལས་བྱུང་བ(441), དེ་ལས་བྱུང་བ(43), དེ་ལས་བྱུང་བའི(43); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,55
ཆོས་འདི་ལ་མ་བྱེད་པ་ཞེས་མི་རིགས་སོ་,ཞེ་ན,,ཞེ་ན,ཞེས་ ན,། རྟག་པར་སྨྲ་བ་རྣམས་ཀྱི་བྱེད་པ་ནི,K,g,,,,,,,,p=d n 26.80%,p ཞེ་ན(629), ཞེ་ན།_(24728); d ཞེ་ན(629), ཞེ་ན།_(24728); n ; ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,78
བྱ་བ་ནི་བོས་པའི་ཚིག་ཉིད་དོ། །གཟུངས་,འདི་,,ནི་,ནི་,གྲངས་བཞིན་བཟླས་ལ་ཁྲུས་གྱིས་ཤིག་པའི་གདམས་ངག་,K,g,,,,,,,,p d=n 39.22%,p འདི(1651), གཟུངས་འདི(838); d ནི(44237), ནི་གྲངས(129), གཟུངས་ནི(92); n ནི(44237), ནི་གྲངས(129), གཟུངས་ནི(92); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,149
འདས་རྡོ་རྗེ་ལ་བཞུགས་ཏེ་ཞེས་བྱ་བའི་བར་,གྱི་,,གྱིས་,གྱི་,བསྟན་ཏོ། །དེ་ཡང་ལྔས་བསྟན་ཏེ། མདོ་,K,p,,,,,,,,p=n d 20.26%,p གྱི(3024), བར་གྱི(1443), གྱི་བསྟན(46); d གྱིས(7492), བར་གྱིས(388), གྱིས་བསྟན(143); n གྱི(3024), བར་གྱི(1443), གྱི་བསྟན(46); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,5
མདོ་སྡེའི་དོན་ཇི་ལྟ་བུ་ཞེ་ན། མིང་,གི་,,གི་,གིས་,ཁྱད་པར་གྱིས་བསྟན་ཏེ། རྡོ་རྗེ་རྣམ་པར་,K,p,,,,,,,,p=d n 26.80%,p གི(1276), མིང་གི(430), གི་ཁྱད་པར(80); d གི(1276), མིང་གི(430), གི་ཁྱད་པར(80); n གིས(2588), མིང་གིས(254); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,7
འདི་ལྟར་རྡོ་རྗེ་ནི་ཕྱི་རོལ་གྱི་འདུས་བྱས་,ཀྱིས་,,ཀྱི་,ཀྱི་,རྫས་དཔེར་བསྟན་པ་ལྟ་བུ་སྟེ། ཡེ་ཤེས་,K,p,,,,,,,,p d=n 39.22%,p ཀྱིས(6156); d ཀྱི(5256), ཀྱི་རྫས(50), འདུས་བྱས་ཀྱི(528); n ཀྱི(5256), ཀྱི་རྫས(50), འདུས་བྱས་ཀྱི(528); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,8
རང་གི་ངོ་བོ་ལ་གཞན་གྱི་རྟོག་པ་དག་,གིས་,,གི་,གི་,བར་མི་ཆོད་དེ། འདི་ལྟར་འོག་ནས་མི་,K,p,,,,,,,,p d=n 39.22%,p གིས(2588), གིས་བར(52), དག་གིས(850); d གི(1276), གི་བར(2062), དག་གི(341), དག་གི་བར(115); n གི(1276), གི་བར(2062), དག་གི(341), དག་གི་བར(115); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,9
དུ་མ་ཕམ་པ་ཞེས་བྱ་བའི་བར་དུ་བདུན་,གྱིས་,,གྱིས་,གྱི་,བསྟན་པར་མངོན་ནོ། །རྣམ་པར་འཇོམས་པ་ཞེས་,K,p,,,,,,,,p=d n 26.80%,p གྱིས(7492), བདུན་གྱིས(680), གྱིས་བསྟན་པ(54); d གྱིས(7492), བདུན་གྱིས(680), གྱིས་བསྟན་པ(54); n གྱི(3024), བདུན་གྱི(1550); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,10
འཇོམས་པ་ཞེས་བྱ་བ་ནི། འདུས་བྱས་རྫས་,ཀྱིས་,,ཀྱི་,ཀྱི་,དངོས་པོ་དེས་བཅད་པར་བྱ་བ་གང་དག་རིན་པོ་,K,p,,,,,,,,p d=n 39.22%,p ཀྱིས(6156), རྫས་ཀྱིས(122), ཀྱིས་དངོས་པོ(68); d ཀྱི(5256), རྫས་ཀྱི(1279), ཀྱི་དངོས་པོ(417); n ཀྱི(5256), རྫས་ཀྱི(1279), ཀྱི་དངོས་པོ(417); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,11
པ་ནི་འཇིག་ཚོགས་ལ་ལྟ་བའི་བསམ་པ་ཅན་,གྱི་,,གྱིས་,གྱི་,ཕྱི་ནང་གི་བགེགས་ལྡང་བའི་རྒྱུ་ལས་ཀྱི་བག་,K,p,,,,,,,,p=n d 20.26%,p གྱི(3024), ཅན་གྱི(115), གྱི་ཕྱི(193); d གྱིས(7492), ཅན་གྱིས(91), གྱིས་ཕྱི(151); n གྱི(3024), ཅན་གྱི(115), གྱི་ཕྱི(193); ,7-15_རྡོ་རྗེས་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ།,17
