Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པར་ཤེས་པའི་ཁམས་ལྔ་ཡང་དེ་མེད་ན་ཅི་,ལས་,ལ་,ལ་,ལས་,བརྟེན་ཏེ་སྐྱེ་བར་འགྱུར། རྣམ་པར་ཤེས་པའི་,K,g,,,,,,,,c=d p=n 90.21%,c ལ(33965), ཅི་ལ(503), ལ་བརྟེན(91); p ལས(5885), ཅི་ལས(282), ལས་བརྟེན(171); d ལ(33965), ཅི་ལ(503), ལ་བརྟེན(91); n ལས(5885), ཅི་ལས(282), ལས་བརྟེན(171); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,43
བོ་དབང་ཕྱུག་བྱེད་པ་དག །སེམས་ཙམ་པོ་,ལ་,ལས་,ལས་,ལ་,རྣམ་པར་བརྟགས། །དོན་ཡོད་མ་ཡིན་སེམས་ཉིད་,K,g,,,,,,,,c=d p=n 90.21%,c ལས(5885), ལས་རྣམ་པར(1443); p ལ(33965), ལ་རྣམ་པར(3203); d ལས(5885), ལས་རྣམ་པར(1443); n ལ(33965), ལ་རྣམ་པར(3203); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,112
དོན་མཐོང་ལོག་པ་ཡིན། །རིགས་པས་རྣམ་པར་བལྟས་,ནས་,ན་,ན་,ནས་,ནི། །གཟུང་དང་འཛིན་པ་འགག་པར་འགྱུར། །,K,g,,,,,,,,c=d p=n 90.21%,c ན(73509), ན་ནི(3673), བལྟས་ན(325); p ནས(35333), ནས་ནི(1022), བལྟས་ནས(448); d ན(73509), ན་ནི(3673), བལྟས་ན(325); n ནས(35333), ནས་ནི(1022), བལྟས་ནས(448); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,114
ཞེས་བྱ་བ་ལ་དེ་ལ་བརྟེན་ཏམ་དེ་ལྟའོ་,ཞེས་ ན,ཞེ་ན,ཞེ་ན,ཞེས་ ན,། དེ་ཡང་རིགས་པ་མ་ཡིན་ཏེ། །སྣ་,K,g,,,,,,,,c=d p=n 90.21%,c ཞེ་ན(629), ཞེ་ན།_(24728); p ; d ཞེ་ན(629), ཞེ་ན།_(24728); n ; ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,134
དང་ལྡན་ན་གང་ཞིག་གིས། །གཞན་གྱི་དབང་,ལ་,ལས་,ལས་,ལ་,བཟློག་པར་འགྱུར། །རྣམ་པ་ནི་མེད་པ་ཉིད་,K,g,,,,,,,,c=d p=n 90.21%,c ལས(5885), དབང་ལས(92), ལས་བཟློག་པ(67); p ལ(33965), དབང་ལ(238); d ལས(5885), དབང་ལས(92), ལས་བཟློག་པ(67); n ལ(33965), དབང་ལ(238); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,149
སེམས་ཅན་བརྗོད། །ཅེས་གསུངས་སོ། །གལ་ཏེ་,འདི་ ལྟ་ ན་,དེ་ལྟ་ན་,དེ་ལྟ་ན་,འདི་ ལྟ་ ན་,འདི་ལ་ཡང་། བརྟག་པ་མ་བྱས་ཉམས་དགའ་བའང་,K,g,,,,,,,,c=d p=n 90.21%,c དེ་ལྟ་ན(978), གལ་ཏེ་དེ་ལྟ་ན(314); p ; d དེ་ལྟ་ན(978), གལ་ཏེ་དེ་ལྟ་ན(314); n ; ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,222
བཞིན་རང་གི་ཡན་ལག་ལས། །སྨན་ནི་གུད་,ནས་,ན་,ན་,ནས་,མི་སྣང་ངོ་། །སྒྱུ་མའི་གླང་པོ་སྣང་བ་,K,g,,,,,,,,c=d p=n 90.21%,c ན(73509), ན་མི(2653), གུད་ན(1750); p ནས(35333), ནས་མི(1612); d ན(73509), ན་མི(2653), གུད་ན(1750); n ནས(35333), ནས་མི(1612); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,228
མདོ་ལས་ཀྱང་། རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་,ལས་,ལ་,ལ་,ལས་,འཇུག་པས་ཆོས་ཀྱི་དབྱིངས་ལ་འཇུག་པ་སྟོན་པ་,K,g,,,,,,,,c=d p=n 90.21%,c ལ(33965), ལ་འཇུག་པ(92), འབྱུང་བ་ལ(490); p ལས(5885), འབྱུང་བ་ལས(154); d ལ(33965), ལ་འཇུག་པ(92), འབྱུང་བ་ལ(490); n ལས(5885), འབྱུང་བ་ལས(154); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,244
མེད། །ཅེས་གསུངས་སོ། །དེ་ལ་དོན་ནི་,འདི་,དེ་,དེ་,འདི་,ཡིན་ཏེ། །ཡོད་པའི་ཟླས་དྲངས་ནས་མེད་པ་རྣམ་,K,g,,,,,,,,c=d p=n 90.21%,c དེ(1), ནི་དེ(8942), དེ་ཡིན(58), ནི་དེ་ཡིན(300); p འདི(1651), ནི་འདི(8407), འདི་ཡིན(129), ནི་འདི་ཡིན(701), ནི་འདི་ཡིན་ཏེ(395); d དེ(1), ནི་དེ(8942), དེ་ཡིན(58), ནི་དེ་ཡིན(300); n འདི(1651), ནི་འདི(8407), འདི་ཡིན(129), ནི་འདི་ཡིན(701), ནི་འདི་ཡིན་ཏེ(395); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,268
བླངས་ན། ཕྱོགས་ཀྱི་ཆོས་ལ་སོགས་པ་རང་,ལ་,ལས་,ལས་,ལ་,མ་གྲུབ་པའི་ཕྱིར་རྗེས་སུ་དཔག་པ་དང་། ,K,g,,,,,,,,c=d p=n 90.21%,c ལས(5885), ལས་མ(1189), རང་ལས(101); p ལ(33965), ལ་མ(3490), རང་ལ(164); d ལས(5885), ལས་མ(1189), རང་ལས(101); n ལ(33965), ལ་མ(3490), རང་ལ(164); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,286
འདིར་སྨྲས་པ། བུམ་པ་ལ་སོགས་ཞིག་པ་,ནི,ན,ན,ནི,། །བུམ་པའི་ནམ་མཁའ་ལ་སོགས་པཇི་ལྟར་ནམ་མཁའ་འདུ་འགྱུར་བ། །,K,g,,,,,,,,c=d p=n 90.21%,c ན(73509), ན།_།(11932); p ནི(44237), ནི།_།(28227); d ན(73509), ན།_།(11932); n ནི(44237), ནི།_།(28227); ,7-6_དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,384
