Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བཅུད་ཀྱིས་རྩལ་སྦྱངས་ཏེ། །སྣང་གསུམ་སྦྱོར་བ་,#སྐང་པ འི་(སྐད་),,བསྐྱེད་པ འི་,#སྐང་པ འི་(སྐད་),ཕྱིར། །དབང་པོ་གསུམ་གྱིས་དམ་མི་འདའ། །,K,,,ངད,,,,,,p=n d 84.00%,p ; d བསྐྱེད་པའི(1170), བསྐྱེད་པའི་ཕྱིར(50); n ; ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,19
,#ཏད་ #ཏྭ་,,#ཏཏྟྭ་,#ཏད་ #ཏྭ་,ནཱཀྵ་རོ་པ་དེ་ཤ །བོད་སྐད་དུ། ,K,,,,✓,,,,,p=n d 84.00%,p ; d ཏཏྟྭ(1); n ; ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,1
། །གོ་བ་ཅིག་ཤོས་སྐྱེ་བར་འགྱུར། །ཨིནྡྲ་,#བྷུ་,,#བྷཱུ་,#བྷུ་,ཏི་བདག་མེད་མ། །ལྷན་ཅིག་སྐྱེས་སྦྱོར་འདོད་,K,,,,✓,,,,,p=n d 84.00%,p བྷུ(2); d ; n བྷུ(2); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,5
དང་། །རྟེན་དང་དབྲལ་ཞིང་བསྒོམ་པ་གཅེས། །,#ཨེ་ #བཾ་,,ཨེ་ཝཾ་,#ཨེ་ #བཾ་,བརྒྱན་པའི་བདེ་བ་ལ། །བདེ་བས་བྱང་ཆུབ་,K,,,,✓,,,,,p=n d 84.00%,p ; d ; n ; ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,11
རྣལ་འབྱོར་གྱི་དབང་ཕྱུག་ཆེན་པོ་ཀ་མ་ལ་,#ཤྲཱིས་,,#ཤཱི་ ལས་,#ཤྲཱིས་,མཛད་པ་རྫོགས་སོ།། །།རྒྱ་གར་གྱི་མཁན་པོ་,K,,,,✓,,,,,p=n d 84.00%,p ཤྲཱིས(1); d ; n ཤྲཱིས(1); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,22
བཙུན་ཆུང་གིས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ,།། སརྦ་ #མངྒཱ་ ལ,,,,།།,K,,,,✓,,,,,p d=n 4.00%,p ; d (1), ཕབ་པ(455), །།_།།(7586), ཕབ་པ།།_།།(185), ལ་ཕབ་པ།།_།།(185), གཏན་ལ་ཕབ་པ།།_།།(184); n (1), ཕབ་པ(455), །།_།།(7586), ཕབ་པ།།_།།(185), ལ་ཕབ་པ།།_།།(185), གཏན་ལ་ཕབ་པ།།_།།(184); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,24
ལིར་ཤེས་པར་བྱ། །མ་སྐྱེས་པ་དང་མ་,འགག་པ,,འགག་པ,འགགས་པ,། །ཟུང་འཇུག་མཐའ་བཞི་བྲལ་བ་ཡི། །བདེ་,K,,,,,⟶,,,,p=d n 8.00%,p འགག་པ(2290); d འགག་པ(2290); n འགགས་པ(77), མ་འགགས་པ(61); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,3
འཁོར་བ་དང་ནི་མྱ་ངན་འདས། །བདེན་དོན་,རྟོག་པ་,,རྟོགས་པ་,རྟོག་པ་,འཕགས་པ་ལྷ། །སྲོག་དང་རྩོལ་བ་ནཱ་ག་,K,,,,,⟶,,,,p=n d 84.00%,p རྟོག་པ(179); d རྟོགས་པ(218); n རྟོག་པ(179); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,6
གསུམ་ཚངས་པར་འདྲེན། །ཁ་སྦྱོར་ཐིག་ལེ་པདྨར་,བྱུང,,འབྱུང,བྱུང, །།བདེ་བས་རྒྱས་པའི་ཟ་མ་ཏོག །སྐུ་,K,,,,,⟶,,,,p=n d 84.00%,p བྱུང(27); d འབྱུང(42); n བྱུང(27); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,7
རླུང་གི་གནད་ནི་ཤེས་པར་བྱ། །རིག་པ་,བཅུར་,,གཅུར་,བཅུར་,ལ་གདབ་པ་དང་། །ཤེས་པ་སྲང་དུ་གཞུག་,K,,,,,⟶,,,,p=n d 84.00%,p བཅུར(6); d ; n བཅུར(6); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,9
བྱེད་པའི་ཚེ། །མི་གཡོ་རྒྱ་མཚོ་ལྟ་བུ་,བཞག,,གཞག,བཞག,།མེ་དང་ཆུ་དང་དུག་སྦྲུལ་དང་། །བསེ་,K,,,,,⟶,,,,p=n d 84.00%,p བཞག(491); d གཞག(599); n བཞག(491); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,16
སོ་ཐུབ་སྟེ། །སྲོག་འཛིན་གསུམ་གྱིས་བརྟན་པ་,འཐོབ,,ཐོབ,འཐོབ,། །གྲོལ་ལུགས་གསུམ་གྱིས་ཚད་བསྟན་ནོ། །ལོ་,K,,,,,⟶,,,,p=n d 84.00%,p འཐོབ(899), འཐོབ།_།(832); d ཐོབ(930), ཐོབ།_།(788); n འཐོབ(899), འཐོབ།_།(832); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,20
བྱང་ཆུབ་ལམ་དུ་ཀྱེར། །སྣང་སྲིད་བརྡ་རུ་,སྤོང་པ་,,སློབ་པ་,སྤོང་པ་,དང་། །གང་མཐོང་ཕྱག་རྒྱ་ཆེན་པོར་ཤར། །,K,,,,,≠,,,,p=n d 84.00%,p ; d སློབ་པ(2601), སློབ་པ་དང(559); n ; ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,12
གདོན་དང་འབྱུང་བོ་བཤུགས་པ་འདྲེན། །གནོད་སྦྱིན་,འཁྲུ་,,འཁུ་,འཁྲུ་,ལྡོག་བྱེད་པའི་ཚེ། །མི་གཡོ་རྒྱ་མཚོ་ལྟ་,K,,,,,≠,,,,p=n d 84.00%,p འཁྲུ(11); d འཁུ(100); n འཁྲུ(11); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,15
མཁའ་སྤྱོད་དང་། །སྨན་དང་བཅུད་ལེན་བདུད་རྩི་,བརྟེན,,བསྟེན,བརྟེན,། །རོ་ལངས་མཁའ་འགྲོ་དངོས་གྲུབ་སྟེར། །བླང་,K,,,,,≠,,,,p=n d 84.00%,p བརྟེན(256), བརྟེན།_།(144); d བསྟེན(184), བསྟེན།_།(159); n བརྟེན(256), བརྟེན།_།(144); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,17
གཉིས་ཀྱིས་ཤན་ཕྱེ་ལ། །ཁར་ཕོག་ཅར་ཕོག་,ཐོག་,,ཐོག་,ཐོགས་,བབས་སུ། །ཐུན་དང་བཅུད་ཀྱིས་རྩལ་སྦྱངས་ཏེ,K,,,,,≠,,,,p=d n 8.00%,p ཐོག(10); d ཐོག(10); n ཐོགས(351); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,18
དང་པོ་དུས་བཞི་མཉམ་སྦྱར་ལ། །གནད་གསུམ་,ཟེར་,,གཟེར་,ཟེར་,བཞི་གདབ་པར་བྱ། །ལུས་ཀྱི་གནད་དང་དམིགས་,K,,,,,?,,,,p=n d 84.00%,p ཟེར(332); d གཟེར(11); n ཟེར(332); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,8
མཇལ་བའི་ཚད་མ་ཡིས། །ཡང་དག་ཡིད་ལ་,བལྟ་བ ར་,,ལྟ་བ་,བལྟ་བ ར་,བྱ། །ཡང་དག་དོན་ལ་ཡི་གེ་མེད། །,K,,,,,,≡,,,p=n d 84.00%,p བལྟ་བར(1687), ལ་བལྟ་བར(181), བལྟ་བར་བྱ(173); d ལྟ་བ(239), ལ་ལྟ་བ(512); n བལྟ་བར(1687), ལ་བལྟ་བར(181), བལྟ་བར་བྱ(173); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,2
སུ། །བླ་མའི་བརྡ་ཡིས་མཚོན་པར་བྱ། །,ཁ་ དོན་,,ཁ་དོག་,ཁ་ དོན་,མར་མེ་མེ་ལོང་རྒྱ། །མེ་ཤེལ་ས་བོན་,K,,,,,,≡,,,p=n d 84.00%,p ; d ཁ་དོག(6397), །_།ཁ་དོག(876); n ; ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,4
ཤེས་པ་སྲང་དུ་གཞུག་པ་དང་། །སེམས་ནི་,རུས་,,རུང་,རུས་,དམིགས་འདྲེན་པ་དང་། །རྟེན་དང་དབྲལ་ཞིང་བསྒོམ་,K,,,,,,≡,,,p=n d 84.00%,p རུས(22), ནི་རུས(78); d རུང(108), ནི་རུང(86); n རུས(22), ནི་རུས(78); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,10
ཡིས་སྒྲོ་འདོགས་ཆོད། །ཉམས་སུ་བླངས་ན་བྱིན་,བརླབས་,,རླབས་,བརླབས་,འབྱུང་། །དྲོད་རྟགས་ནུས་པ་ཚོད་ཟིན་པས། །,K,,,,,,≡,,,p=n d 84.00%,p བརླབས(156), བྱིན་བརླབས(707); d རླབས(18), བྱིན་རླབས(209); n བརླབས(156), བྱིན་བརླབས(707); ,8-11_དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,13
