Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དོན་དུ་རེ་ཞིག་དང་པོར་རབ་ཏུ་བྱེད་པ་,དེ འི་,འདི འི་,འདི འི་,དེ འི་,བརྗོད་པར་བྱ་བ་དང་། དགོས་པ་བསྟན་པའི་,K,g,,,,,,,,c=d p=n 92.19%,c འདིའི(14); p དེའི(108), བྱེད་པ་དེའི(292); d འདིའི(14); n དེའི(108), བྱེད་པ་དེའི(292); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,33
བར་འགྱུར་བ་ཁོ་ནའོ། །ཕྱིན་ཅི་ལོག་སྤངས་,ནས་,ན་,ན་,ནས་,ཕྱིན་ཅི་ལོག་གི་རྩ་བ་ཅན་ཉོན་མོངས་པའི་,K,g,,,,,,,,c=d p=n 92.19%,c ན(73509), སྤངས་ན(123), ན་ཕྱིན(65); p ནས(35333), སྤངས་ནས(927), ནས་ཕྱིན(188); d ན(73509), སྤངས་ན(123), ན་ཕྱིན(65); n ནས(35333), སྤངས་ནས(927), ནས་ཕྱིན(188); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,43
ཁོ་ནས་ཆོག་མོད། ལུང་གིས་ཅི་ཞིག་བྱ་,ཞེས་ ན,ཞེ་ན,ཞེ་ན,ཞེས་ ན,། མ་ཡིན་ཏེ། ལུང་ནི་རིགས་པའི་རྒྱན་,K,g,,,,,,,,c=d p=n 92.19%,c ཞེ་ན(629), ཞེ་ན།_(24728), བྱ་ཞེ་ན(450), བྱ་ཞེ་ན།_(424); p ; d ཞེ་ན(629), ཞེ་ན།_(24728), བྱ་ཞེ་ན(450), བྱ་ཞེ་ན།_(424); n ; ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,59
ཡོད་པ་ཞེས་ཚིག་རྣམ་པར་སྦྱར་རོ། །འདིས་,ན་,ནི་,ནི་,ན་,གང་དག་ལྷན་ཅིག་བྱེད་པའི་རྒྱུ་དེ་ཉིད་ནུས་,K,g,,,,,,,,c=d p=n 92.19%,c ནི(44237), ས་ནི(617), ནི་གང་དག(174); p ན(73509), ས་ན(194), ན་གང་དག(232); d ནི(44237), ས་ནི(617), ནི་གང་དག(174); n ན(73509), ས་ན(194), ན་གང་དག(232); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,87
ལས་ནི་ཅི་འདྲ་བ་ཞིག་ཡིན། གང་གིས་,ནི་,ན་,ན་,ནི་,ཡུལ་རིག་པར་གཞག་པར་བྱ་ཞེ་ན། གལ་,K,g,,,,,,,,c=d p=n 92.19%,c ན(73509), གིས་ན(149), ན་ཡུལ(302); p ནི(44237), ནི་ཡུལ(447), གིས་ནི(3142); d ན(73509), གིས་ན(149), ན་ཡུལ(302); n ནི(44237), ནི་ཡུལ(447), གིས་ནི(3142); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,169
མི་ཟ་བར་འགྱུར་བ་མ་ཡིན་ནོ། །དེས་,ནི་,ན་,ན་,ནི་,དངོས་པོ་ཅིག་ཅར་རྟོགས་པའི་རྒྱུ་ཡོད་པའང་འགའ་,K,g,,,,,,,,c=d p=n 92.19%,c ན(73509), ས་ན(194), ན་དངོས་པོ(208); p ནི(44237), ས་ནི(617), ནི་དངོས་པོ(1114); d ན(73509), ས་ན(194), ན་དངོས་པོ(208); n ནི(44237), ས་ནི(617), ནི་དངོས་པོ(1114); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,208
ལས་བྱུང་བ་ལ་དམིགས་པ་ཡོད་པ་དེ་ལ་,འདི་སྐད་,དེ་ སྐད་,དེ་ སྐད་,འདི་སྐད་,ཅེས་བྱའོ། །དེ་དང་དོན་མཐུན་ཏེ་ཞེས་བྱ་,K,g,,,,,,,,c=d p=n 92.19%,c དེ་སྐད(6506), ལ་དེ་སྐད(117); p འདི་སྐད(20593), ལ་འདི་སྐད(9527), འདི་སྐད་ཅེས་བྱ(381), ལ་འདི་སྐད་ཅེས་བྱ(341), ལ་འདི་སྐད་ཅེས་བྱའོ(62), དེ་ལ་འདི་སྐད་ཅེས་བྱ(341), དེ་ལ་འདི་སྐད་ཅེས་བྱའོ(62), དེ་ལ་འདི་སྐད་ཅེས་བྱའོ།_།(62); d དེ་སྐད(6506), ལ་དེ་སྐད(117); n འདི་སྐད(20593), ལ་འདི་སྐད(9527), འདི་སྐད་ཅེས་བྱ(381), ལ་འདི་སྐད་ཅེས་བྱ(341), ལ་འདི་སྐད་ཅེས་བྱའོ(62), དེ་ལ་འདི་སྐད་ཅེས་བྱ(341), དེ་ལ་འདི་སྐད་ཅེས་བྱའོ(62), དེ་ལ་འདི་སྐད་ཅེས་བྱའོ།_།(62); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,252
ནི་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་སོ། །,དེ་དག་,དེ་ དང་,དེ་ དང་,དེ་དག་,མཐུན་པར་མི་འཇུག་ཅེས་བྱ་བ་ནི་ཤེས་པ་,K,g,,,,,,,,c=d p=n 92.19%,c དེ་དང(64), །_།དེ་དང(617); p དེ་དག(179), །_།དེ་དག(10096); d དེ་དང(64), །_།དེ་དང(617); n དེ་དག(179), །_།དེ་དག(10096); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,266
བསྒོམས་པའི་བྱེ་བྲག་ནི་བུད་མེད་ལ་སོགས་པ་,ལས་,ལ་,ལ་,ལས་,གཡེམ་པ་དང་ཀུན་ཏུ་རྒྱུ་ལ་སོགས་པ་ལྟ་,K,g,,,,,,,,c=d p=n 92.19%,c ལ(33965), ལ་སོགས་པ་ལ(380); p ལས(5885), ལ་སོགས་པ་ལས(58); d ལ(33965), ལ་སོགས་པ་ལ(380); n ལས(5885), ལ་སོགས་པ་ལས(58); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,275
ངོ་བོ་གཉིས་སུ་མེད་པ་ཁོ་ན་བདེན་ནོ་,ཞེས་ ན,ཞེ་ན,ཞེ་ན,ཞེས་ ན,། གལ་ཏེ་དེ་ལྟ་ན་གཉིས་སུ་མེད་པའི་,K,g,,,,,,,,c=d p=n 92.19%,c ཞེ་ན(629), ཞེ་ན།_(24728); p ; d ཞེ་ན(629), ཞེ་ན།_(24728); n ; ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,292
བདག་ཉིད་དེ་ལྟར་སྣང་བར་འགྱུར་བ་ཤེས་པ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པ་གཞན་ཡང་མེད་པའི་ཕྱིར་རོ། །,K,g,,,,,,,,c=d p=n 92.19%,c ལས(5885), ལས་མ(1189), ཤེས་པ་ལས(315); p ལ(33965), ལ་མ(3490), ཤེས་པ་ལ(2074); d ལས(5885), ལས་མ(1189), ཤེས་པ་ལས(315); n ལ(33965), ལ་མ(3490), ཤེས་པ་ལ(2074); ,8-19_དབུ་མའི་རྒྱན་གྱི་དཀའ་འགྲེལ།,296
