Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རྡུལ་ཕྲ་རབ་བསགས་པའི་བདག་ཉིད་གཅིག་ཡིན་གྲང་,ན,ནི,ནི,ན, །།དེ་གཉི་གའི་ངོ་བོ་ཡང་མངོན་སུམ་དུ་,K,g,,,,,,,,c=d p=n 86.81%,c ནི(44237), ནི།_།(28227); p ན(73509), ན།_།(11932); d ནི(44237), ནི།_།(28227); n ན(73509), ན།_།(11932); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,4
དུ་མི་འགྱུར་ཏེ། དེ་ཁོ་ན་དང་གཞན་,ན་,ནི་,ནི་,ན་,ཕན་ཚུན་སྤངས་ཏེ་གནས་པའི་མཚན་ཉིད་ཡིན་པའི་,K,g,,,,,,,,c=d p=n 86.81%,c ནི(44237), གཞན་ནི(708), ནི་ཕན་ཚུན(88); p ན(73509), གཞན་ན(246); d ནི(44237), གཞན་ནི(708), ནི་ཕན་ཚུན(88); n ན(73509), གཞན་ན(246); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,24
ཐ་དད་པ་དང་ཐ་དད་པ་མ་ཡིན་པ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པའི་དངོས་པོ་འགའ་ཡང་མེད་པས་ཐམས་,K,g,,,,,,,,c=d p=n 86.81%,c ལས(5885), ལས་མ(1189), ཡིན་པ་ལས(124); p ལ(33965), ལ་མ(3490), ཡིན་པ་ལ(844); d ལས(5885), ལས་མ(1189), ཡིན་པ་ལས(124); n ལ(33965), ལ་མ(3490), ཡིན་པ་ལ(844); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,71
ཀྱང་། དཔེར་ན་ཆུ་ཤིང་རློན་པའི་སྡོང་པོ་,ལ,ལས,ལས,ལ,། །སྙིང་པོ་འདོད་མིས་རྣམ་པར་བཤིག་ན་ཡང་,K,g,,,,,,,,c=d p=n 86.81%,c ལས(5885), ལས།_།(3638); p ལ(33965), ལ།_།(14361); d ལས(5885), ལས།_།(3638); n ལ(33965), ལ།_།(14361); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,125
བོ་ཉིད་ཡིན་ན་དེའི་ཚེ་གཉིས་སུ་སྣང་བ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པ་ཤེས་པའི་ངོ་བོ་གཞན་ཚད་མས་,K,g,,,,,,,,c=d p=n 86.81%,c ལས(5885), ལས་མ(1189), སྣང་བ་ལས(47); p ལ(33965), ལ་མ(3490), སྣང་བ་ལ(230); d ལས(5885), ལས་མ(1189), སྣང་བ་ལས(47); n ལ(33965), ལ་མ(3490), སྣང་བ་ལ(230); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,156
མ་སྤངས་མཁས་རྣམས། །ངང་པ་རབ་དགའ་ཆུ་,ལ་,ལས་,ལས་,ལ་,འོ་མ་བཞིན། །རྣམ་པར་ཕྱེ་ནས་ལེགས་པར་,K,g,,,,,,,,c=d p=n 86.81%,c ལས(5885), ཆུ་ལས(169); p ལ(33965), ཆུ་ལ(740), ལ་འོ(96); d ལས(5885), ཆུ་ལས(169); n ལ(33965), ཆུ་ལ(740), ལ་འོ(96); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,178
པོ་འདི་དག་ཚད་མིན་ཏེ། །ངོ་བོ་ཉིད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,བེམས་པོ་ལུང་མ་བསྟན། །དེ་ཕྱིར་མྱ་ངན་,K,p,,,,,,,,c=d p=n 86.81%,c ཀྱི(5256), ངོ་བོ་ཉིད་ཀྱི(715); p ཀྱིས(6156), ངོ་བོ་ཉིད་ཀྱིས(885); d ཀྱི(5256), ངོ་བོ་ཉིད་ཀྱི(715); n ཀྱིས(6156), ངོ་བོ་ཉིད་ཀྱིས(885); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,5
བར་འགྱུར་བའི་ཕྱིར་རོ། །ཡུལ་ལ་བཀྲམ་པ་ལྟར་,འདུག་པ ར་,འདུག་པ ར་,འདུག་པ ར་,འདུག་པ་,ཡོངས་སུ་འཛིན་པར་སྣང་བའི་རྣམ་པ་རྣམ་པ་སྣ་,K,p,,,,,,,,c=p=d n 3.30%,c འདུག་པར(1213); p འདུག་པར(1213); d འདུག་པར(1213); n འདུག་པ(264), ལྟར་འདུག་པ(106); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,9
བ་དོན་མེད་པ་ཁོ་ནར་འགྱུར་རོ། །ཁས་,བླངས་པ ར་,བླངས་པ་,བླངས་པ་,བླངས་པ ར་,འདིས་ན་རང་བཞིན་མེད་པ་ཉིད་དུ་དམ་བཅས་,K,p,,,,,,,,c=d p=n 86.81%,c བླངས་པ(46); p བླངས་པར(184); d བླངས་པ(46); n བླངས་པར(184); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,14
པས་ཉེས་པ་མེད་དོ། །འདིས་ནི་ལས་དང་,འབྲས་བུ་,འབྲས་བུ ར་,འབྲས་བུ ར་,འབྲས་བུ་,འབྲེལ་པ་དང་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ལ་,K,p,,,,,,,,c=d p=n 86.81%,c འབྲས་བུར(438), དང་འབྲས་བུར(53); p འབྲས་བུ(49), དང་འབྲས་བུ(664); d འབྲས་བུར(438), དང་འབྲས་བུར(53); n འབྲས་བུ(49), དང་འབྲས་བུ(664); ,8-22_ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པ་ཉིད་དུ་གྲུབ་པ།,16
