Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མོ་རྣམས་བསྟན་ཏོ། །ལག་པ་དག་པར་བསྙལ་,ན་,ནས་,ནས་,ན་,ནི། །ཞེས་བྱ་བ་ནས་བརྩམས་ཏེ། ཇི་,K,g,,,,,,,,c=d p=n 73.36%,c ནས(35333), ནས་ནི(1022); p ན(73509), ན་ནི(3673); d ནས(35333), ནས་ནི(1022); n ན(73509), ན་ནི(3673); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,5
སུམ་ཚོགས་པ་དང་། གནས་ཕུན་སུམ་ཚོགས་པ་,དང ་།_,དང ་།_,དག །།,དང ་།_,།བསམ་པ་ཕུན་སུམ་ཚོགས་པའོ། །དེ་ལ་,K,g,,,,,,,,c=p=n d 2.39%,c དང་།_(394717), དང་།_བསམ་པ(243), ཚོགས་པ་དང་།_(460); p དང་།_(394717), དང་།_བསམ་པ(243), ཚོགས་པ་དང་།_(460); d ; n དང་།_(394717), དང་།_བསམ་པ(243), ཚོགས་པ་དང་།_(460); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,36
ཅིང་། །ལས་རྣམས་གསུམ་པོ་འདི་དག་རབ་སྦྱངས་,ན,ནས,ནས,ན,། །དྲང་སྲོང་གསུང་བའི་ལམ་ནི་ཐོབ་པར་འགྱུར,K,g,,,,,,,,c=d p=n 73.36%,c ནས(35333), ནས།_།(9174), སྦྱངས་ནས(71); p ན(73509), ན།_།(11932); d ནས(35333), ནས།_།(9174), སྦྱངས་ནས(71); n ན(73509), ན།_།(11932); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,143
སྦོམ་པོའོ། །གོང་དུ་སྨོས་པ་ལྟར་བསྟན་པ་,ལས་,ལ་,ལ་,ལས་,དགེ་སྦྱོང་གིས་འགྱོད་དེ་ང་ནི་བྱིས་པ་དང་,K,g,,,,,,,,c=d p=n 73.36%,c ལ(33965), བསྟན་པ་ལ(108), ལ་དགེ་སྦྱོང(260); p ལས(5885), བསྟན་པ་ལས(88); d ལ(33965), བསྟན་པ་ལ(108), ལ་དགེ་སྦྱོང(260); n ལས(5885), བསྟན་པ་ལས(88); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,199
དགེ་སྦྱོང་གིས་གསད་སེམས་ཀྱིས་སེམས་ཅན་དམྱལ་བ་བསད་,ནས་,ན་,ན་,ནས་,སྡིག་པ་སྦོམ་པོ་ཐོབ་པར་འགྱུར་ཞེས་བྱ་བར་,K,g,,,,,,,,c=d p=n 73.36%,c ན(73509), བསད་ན(69), ན་སྡིག་པ(91); p ནས(35333), བསད་ནས(120), ནས་སྡིག་པ(56); d ན(73509), བསད་ན(69), ན་སྡིག་པ(91); n ནས(35333), བསད་ནས(120), ནས་སྡིག་པ(56); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,236
ཀྱིས། ཁྲོ་སེམས་ཀྱིས་མི་རྣམ་པ་གསུམ་བཙོགས་,ནས་,ན་,ན་,ནས་,ཉེས་བྱས་སུ་འགྱུར་རོ། །དེ་ལས་གཞན་པའི་,K,g,,,,,,,,c=d p=n 73.36%,c ན(73509), ན་ཉེས(1419); p ནས(35333), ནས་ཉེས(66); d ན(73509), ན་ཉེས(1419); n ནས(35333), ནས་ཉེས(66); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,254
མཐུ་དང་འཇབ་བུས་ཀཱར་ཥཱ་པཎའི་བཞི་ཆ་བརྐུས་ཏེ་རིན་ཐང་ཚང་,ནི་,ན་,ན་,ནི་,ཕས་ཕམ་པའོ། །རྐུ་སེམས་མེད་ན་བསྡམ་པར་,K,g,,,,,,,,c=d p=n 73.36%,c ན(73509), ན་ཕ(235), ཚང་ན(171); p ནི(44237), ནི་ཕ(689); d ན(73509), ན་ཕ(235), ཚང་ན(171); n ནི(44237), ནི་ཕ(689); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,285
ཞེས་བྱ་བ་ཞིག་རབ་ཏུ་བྱུང་ནས་གནས་པ་,ལ,ལས,ལས,ལ,། དེའི་མས་བུ་ཁྱོད་ཕ་དང་མའི་ནོར་ནི་,K,g,,,,,,,,c=d p=n 73.36%,c ལས(5885), ལས།_(2200), གནས་པ་ལས(51); p ལ(33965), ལ།_(19029), གནས་པ་ལ(107); d ལས(5885), ལས།_(2200), གནས་པ་ལས(51); n ལ(33965), ལ།_(19029), གནས་པ་ལ(107); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,335
དག་ཀྱང་བསྡུའོ། །མེ་ཏོག་མགོ་རྒྱན་ཕྲེང་བ་,དང ་།,དག །།,དག །།,དང ་།,།བརྟུལ་ཞུགས་ཅན་གྱིས་གདགས་མི་བྱ། །ཞེས་,K,g,,,,,,,,c=d p=n 73.36%,c ; p དང་།(6355); d ; n དང་།(6355); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,421
པ་སྐྱེ་མི་འགྱུར། །དྲེགས་པའི་ཡན་ལག་སྤངས་,ན་,ནས་,ནས་,ན་,ནི། །བརྟུལ་ཞུགས་གནས་ཞེས་བརྗོད་པ་ཡིན། །,K,g,,,,,,,,c=d p=n 73.36%,c ནས(35333), ནས་ནི(1022), སྤངས་ནས(927), སྤངས་ནས་ནི(84), སྤངས་ནས་ནི།_།(83); p ན(73509), ན་ནི(3673), སྤངས་ན(123); d ནས(35333), ནས་ནི(1022), སྤངས་ནས(927), སྤངས་ནས་ནི(84), སྤངས་ནས་ནི།_།(83); n ན(73509), ན་ནི(3673), སྤངས་ན(123); ,8-30_དགེ་སྦྱོང་གི་ཀཱ་རི་ཀཱ་ལྔ་བཅུ་པ་མདོ་ཙམ་དུ་བཤད་པ།,440
