Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རྣམ་པ་གཅིག་ཏུ་ན་འདིས་སྦྱོར་བར་བྱེད་པས་,ན་,ནི་,ནི་,ན་,སྦྱོར་བ་སྟེ། མིང་དང་རིགས་ལ་སོགས་པ་,K,g,,,,,,,,c=d p=n 81.51%,c ནི(44237), ས་ནི(617), ནི་སྦྱོར་བ(132); p ན(73509), ས་ན(194); d ནི(44237), ས་ནི(617), ནི་སྦྱོར་བ(132); n ན(73509), ས་ན(194); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),45
ཏེ་དེ་ལྟ་ན་མིང་དང་རིགས་སོགས་སྦྱོར་བ་,ཡི,ཡིན,ཡིན,ཡིས,། མདོ་འདིར་ཇི་ལྟར་འབྲེལ་པར་བྱ་ཞེ་ན,K,g,,,,,,,,c=d p n 1.79%,c ཡིན(32960), ཡིན།_(20424), སྦྱོར་བ་ཡིན(173); p ཡི(8322), ཡི།_(63); d ཡིན(32960), ཡིན།_(20424), སྦྱོར་བ་ཡིན(173); n ཡིས(7433), ཡིས།_(108), སྦྱོར་བ་ཡིས(802); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),58
བརྗོད་པར་མི་འགྱུར་རོ། །དཔེར་ན་འོ་མ་,ལས་,ལ་,ལ་,ལས་,ངེས་པའི་བརྗོད་པ་ཅན་གྱིས་བརྗོད་པའི་ནུས་པའི་,K,g,,,,,,,,c=d p=n 81.51%,c ལ(33965), མ་ལ(418), ལ་ངེས་པ(63); p ལས(5885), མ་ལས(739); d ལ(33965), མ་ལ(418), ལ་ངེས་པ(63); n ལས(5885), མ་ལས(739); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),68
ཏོ། །རང་དང་གཞན་གྱི་ཡུལ་སྟོན་པ་ནི,ནི་,ན །_,ན །_,ནི་,། བླང་བྱ་དང་དོར་བྱའི་ཡུལ་བསྟན་པའི་དོན་,K,g,,,,,,,,c=d p=n 81.51%,c ན།_(60485); p ནི(44237), ནི་བླང(114), སྟོན་པ་ནི(75); d ན།_(60485); n ནི(44237), ནི་བླང(114), སྟོན་པ་ནི(75); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),100
རྗོད་པར་བྱེད་པ་ནི་མིང་ངོ་། །དེ་དག་,ནི་,གིས་,གིས་,ནི་,ཐ་མི་དད་པར་ཉེ་བར་བརྟགས་པ་ནི་རིགས་ལ་,K,g,,,,,,,,c=d p=n 81.51%,c གིས(2588), གིས་ཐ(56), དེ་དག་གིས(272); p ནི(44237), ནི་ཐ(452), དེ་དག་ནི(569); d གིས(2588), གིས་ཐ(56), དེ་དག་གིས(272); n ནི(44237), ནི་ཐ(452), དེ་དག་ནི(569); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),103
མཚན་ཉིད་ལ་ཡང་མ་ཡིན་ཏེ། དེ་དག་,ནི་,ནི་,ན་,ན་,ཐ་སྙད་ཀྱི་དུས་སུ་རྗེས་སུ་མི་འགྲོ་བའི་,K,g,,,,,,,,c=p d=n 0.02%,c ནི(44237), ནི་ཐ(452), དེ་དག་ནི(569); p ནི(44237), ནི་ཐ(452), དེ་དག་ནི(569); d ན(73509), ན་ཐ(132), དེ་དག་ན(105); n ན(73509), ན་ཐ(132), དེ་དག་ན(105); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),172
འདི་ལས་ཀྱང་སྔོན་པོ་ལ་སོགས་པའི་བདག་ཉིད་,ལས་,ལ་,ལ་,ལས་,བརྡ་བྱ་བར་མི་ནུས་སོ། །དེ་དག་ཅེས་,K,g,,,,,,,,c=d p=n 81.51%,c ལ(33965), བདག་ཉིད་ལ(305); p ལས(5885); d ལ(33965), བདག་ཉིད་ལ(305); n ལས(5885); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),185
ཡོད་མ་ཡིན། །ཞེས་བྱ་བ་སྨོས་ཏེ། ,གང་ཞིག་,གང་ཞིག་,གང་ཞིག་,འགའ་ཞིག་,ཡོད་པ་ཞེས་བྱ་བས་བརྗོད་པ་དོན་ཙམ་ཞེས་,K,g,,,,,,,,c=p=d n 9.37%,c གང་ཞིག(5325), །_གང་ཞིག(353); p གང་ཞིག(5325), །_གང་ཞིག(353); d གང་ཞིག(5325), །_གང་ཞིག(353); n འགའ་ཞིག(1265); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),206
པར་གཞན་སྤངས་ནས་དེ་ཙམ་ཤེས་པར་འདོད་པ་,ནས་,ན་,ན་,ནས་,དེ་སྐད་ཅེས་བྱའོ། །འདི་སྙམ་དུ་གལ་ཏེ་,K,g,,,,,,,,c=d p=n 81.51%,c ན(73509), ན་དེ(8710), འདོད་པ་ན(327); p ནས(35333), ནས་དེ(8458); d ན(73509), ན་དེ(8710), འདོད་པ་ན(327); n ནས(35333), ནས་དེ(8458); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),220
དེ་འཛིན་པ་ཚད་མ་ཉིད་དུ་གོ་བར་ག་,ལས་,ལ་,ལ་,ལས་,འགྱུར། ཡོད་དུ་ཆུག་མོད་དེ་ལྟ་ན་ཡང་,K,g,,,,,,,,c=d p=n 81.51%,c ལ(33965), ག་ལ(60), ལ་འགྱུར(742), ག་ལ་འགྱུར(97), ག་ལ་འགྱུར།_(658); p ལས(5885), ག་ལས(438), ལས་འགྱུར(55); d ལ(33965), ག་ལ(60), ལ་འགྱུར(742), ག་ལ་འགྱུར(97), ག་ལ་འགྱུར།_(658); n ལས(5885), ག་ལས(438), ལས་འགྱུར(55); ,8-34_དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།_(B),298
