Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
།སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་ལའི་སྨོན་ལམ་,མུ་,མུ་,མུ་,#ཅུ་,གཉིས་མ་ཞེས་བྱ་བ་རྫོགས་སོ།། ,K,,,nw✓,,,,,,c=p=d n 17.65%,c མུ(86); p མུ(86); d མུ(86); n ཅུ(30), ཅུ་གཉིས(53); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,16
ཐེག་ཆེན་ས་ལ་འགོད་ནུས་ཤོག །སློབ་དཔོན་,ཀ་,#ཀཱ་,#ཀཱ་,ཀ་,མ་ལ་ཤཱི་ལའི་སྨོན་ལམ་མུ་གཉིས་མ་ཞེས་,K,,,,✓,,,,,c=d p=n 70.59%,c ཀཱ(68), ཀཱ་མ(116); p ཀ(951), ཀ་མ(257); d ཀཱ(68), ཀཱ་མ(116); n ཀ(951), ཀ་མ(257); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,15
མ་ལུས་ཞི་གྱུར་ནས། །རྐྱེན་རྣམས་མ་ལུས་,བཟློགས་པ ར་,བཟློག་པ ར་,བཟློག་པ ར་,བཟློགས་པ ར་,ཤོག །བསྲུང་བར་གྱུར་པའི་ལྷ་རྣམས་ཀྱིས། །,K,,,,,⟶,,,,c=d p=n 70.59%,c བཟློག་པར(524); p ; d བཟློག་པར(524); n ; ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,7
པའི་སྦྱིན་པ་འདི། །དཔག་ཏུ་མེད་པ་འཕེལ་,འགྱུར་,གྱུར་,གྱུར་,འགྱུར་,ཏེ། །བྱང་ཆུབ་ཐོབ་པའི་རྟེན་དུ་ཤོག །,K,,,,,⟶,,,,c=d p=n 70.59%,c གྱུར(4361), གྱུར་ཏེ(1118); p འགྱུར(31151), འགྱུར་ཏེ(1517), འཕེལ་འགྱུར(47); d གྱུར(4361), གྱུར་ཏེ(1118); n འགྱུར(31151), འགྱུར་ཏེ(1517), འཕེལ་འགྱུར(47); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,10
ལ་རེ་བ་མེད་པར་ཤོག །ཕྱོགས་འཛིན་ངོ་,བསྲུངས་,བསྲུང་,བསྲུང་,བསྲུངས་,མེད་པར་ཤོག །བདག་གི་དགེ་བ་མཐར་ཕྱིན་,K,,,,,⟶,,,,c=d p=n 70.59%,c བསྲུང(3); p བསྲུངས(86); d བསྲུང(3); n བསྲུངས(86); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,13
ཕྱག་འཚལ་ལོ། །བདག་ལ་བརྟེན་ནས་སེམས་,སྐྱེས་པ འི,བསྐྱེད་པ འི,བསྐྱེད་པ འི,སྐྱེས་པ འི,། །དྲི་མ་མེད་པའི་སྦྱིན་པ་ལ། །བརྟེན་,K,,,,,≠,,,,c=d p=n 70.59%,c བསྐྱེད་པའི(1170), སེམས་བསྐྱེད་པའི(242); p སྐྱེས་པའི(2353); d བསྐྱེད་པའི(1170), སེམས་བསྐྱེད་པའི(242); n སྐྱེས་པའི(2353); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,2
དེ་ལ་མ་ཆགས་ཤིང་། །སེམས་ཅན་ཀུན་ལ་,སྙིང་ བརྩེ་བ ས,སྙིང་རྗེ་བ ས,སྙིང་རྗེ་བ ས,སྙིང་ བརྩེ་བ ས,པའི་སེམས་དང་ལྡན་པར་ཤོག །སྦྱིན་པ་འདི་,K,,,,,≠,,,,c=d p=n 70.59%,c ; p སྙིང་བརྩེ་བས(40); d ; n སྙིང་བརྩེ་བས(40); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,5
སེམས་དང་ལྡན་པར་ཤོག །སྦྱིན་པ་འདི་ཡི་,བྱིན་,བྱིན་,བྱིན་,སྦྱིན་,རླབས་ཀྱིས། །དུས་འདིར་བར་དུ་གཅོད་པ་ཡི,K,,,,,≠,,,,c=p=d n 17.65%,c བྱིན(409), བྱིན་རླབས(209); p བྱིན(409), བྱིན་རླབས(209); d བྱིན(409), བྱིན་རླབས(209); n སྦྱིན(881), ཡི་སྦྱིན(41); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,6
མ་མེད་པའི་སྦྱིན་པ་ལ། །བརྟེན་ནས་ཡོན་,དག་ ཉིད་,བདག་ཉིད་,བདག་ཉིད་,དག་ ཉིད་,གྲོལ་ཏེ། །དེ་ལ་ཡོན་བདག་མི་རེ་ཞིང་,K,,,,,?,,,,c=d p=n 70.59%,c བདག་ཉིད(208); p དག་ཉིད(40); d བདག་ཉིད(208); n དག་ཉིད(40); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,3
བརྟེན་ནས་ཡོན་བདག་ཉིད་གྲོལ་ཏེ། །དེ་ལ་ཡོན་,དག་,བདག་,བདག་,དག་,མི་རེ་ཞིང་། །འཇིག་རྟེན་རེ་བ་ཞི་བར་,K,,,,,?,,,,c=d p=n 70.59%,c བདག(751), བདག་མི(294), ཡོན་བདག(80); p དག(5192), དག་མི(1104); d བདག(751), བདག་མི(294), ཡོན་བདག(80); n དག(5192), དག་མི(1104); ,8-35_སློབ་དཔོན་ཀཱ་མ་ལ་ཤཱི་མའི་སྨོན་ལམ་མུ་གཉིས་མ།,4
