Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཤེས་གཉིས་ཀྱིས་གཏན་ལ་དབབ། །ཨཱ་ལི་ཐབས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,རང་བཞིན་ལ། །ཀཱ་ལི་ཤེས་རབ་རང་བཞིན་,K,p,,,,,,,,p=n d 88.89%,p ཀྱིས(6156), ཐབས་ཀྱིས(543); d ཀྱི(5256), ཐབས་ཀྱི(925), ཀྱི་རང་བཞིན(3331); n ཀྱིས(6156), ཐབས་ཀྱིས(543); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,3
ཨཱ་ལི་ཀཱ་ལི་མགྲིན་པར་གནས། །ནམ་མཁའི་,ཡི་གེ་,,ཡི་གེ ས་,ཡི་གེ་,ང་རྒྱལ་འཇོམས། །རྩ་ཡི་སྡེ་ཚན་རྐན་ལས་,K,p,,,,,,,,p=n d 88.89%,p ཡི་གེ(6157); d ཡི་གེས(132); n ཡི་གེ(6157); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,8
།། པ་ཡི་སྡེ་ཚན་མཆུ་ནས་འབྱུང་། །ཆུ་,ཡིས་,,ཡི་,ཡིས་,ཡི་གེས་འདོད་ཆགས་འཇོམས། །ཧཱུཾ་གིས་འོག་གི་རླུང་རྣམས་,K,p,,,,,,,,p=n d 88.89%,p ཡིས(7433), ཆུ་ཡིས(306); d ཡི(8322), ཆུ་ཡི(490), ཡི་ཡི་གེ(114); n ཡིས(7433), ཆུ་ཡིས(306); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,11
བྱ། །བདེ་སྟོང་གཉིས་སུ་གསལ་བས་ནི། །,མཚོན་པ ར་,,མཚོན་པ ས་,མཚོན་པ ར་,ཕྱག་རྒྱ་ཆེན་པོ་ཡིན། །སྤོང་དང་སྦྱོར་དང་,K,,≠,,,,,,,p=n d 88.89%,p མཚོན་པར(201); d ; n མཚོན་པར(201); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,6
པར་གནས། །ནམ་མཁའི་ཡི་གེས་ང་རྒྱལ་འཇོམས། །,#ཙ་,,རྩ་,#ཙ་,ཡི་སྡེ་ཚན་རྐན་ལས་འབྱུང་། །མེ་ཡི་ཡི་,K,,,nw✓,,,,,,p=n d 88.89%,p ཙ(240), །_།ཙ(120); d རྩ(197), རྩ་ཡི(158), །_།རྩ(977), །_།རྩ་ཡི(86); n ཙ(240), །_།ཙ(120); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,9
གར་སྐད་དུ། ས་མ་ཏཱ་ཝ་སྟུ་པྲ་,#དཱི་ #པཱ་,,#དཱི་པ་,#དཱི་ #པཱ་,ནཱ་མ། བོད་སྐད་དུ། མཉམ་ཉིད་གཞིའི་,K,,,,✓,,,,,p=n d 88.89%,p ; d ; n ; ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,1
། །འགག་མེད་མཚོན་པས་ཀ་ཡིན་ནོ། །རྀ་,#རྀ་ #ལྀ་ #ལྀ་,,#རཱྀ་ #ལྀ་ #ལཱྀ་,#རྀ་ #ལྀ་ #ལྀ་,ཟུང་འཇུག་གོ། །ཟླ་བ་དང་ནི་ཉི་མ་,K,,,,✓,,,,,p=n d 88.89%,p ; d ; n ; ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,4
མགྲིན་པར་ཧྲི་ལས་གསལ་བ་ནི། །སྤྱི་བོར་,#ཧཾ་,,#རཾ་,#ཧཾ་,དུ་བསྒོམ་པར་བྱ། །བདེ་སྟོང་གཉིས་སུ་གསལ་,K,,,,✓,,,,,p=n d 88.89%,p ཧཾ(126); d རཾ(80); n ཧཾ(126); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,5
ལ་གཉིས་ཡིན་ཏེ། །དྲན་པ་བཞི་ཡིས་ངོས་,བཟུང་,,གཟུང་,བཟུང་,ལ། །ཕྱག་རྒྱ་བཞི་ཡིས་རྒྱས་གདབ་པོ། །,K,,,,,⟶,,,,p=n d 88.89%,p བཟུང(11), བཟུང་ལ(54); d གཟུང(5); n བཟུང(11), བཟུང་ལ(54); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,2
ཞེ་སྡང་འཇོམས། །ཊ་ཡི་སྡེ་ཚན་ལྕེ་ལས་,བྱུང,,འབྱུང,བྱུང,། །རླུང་གི་ཡི་གེས་ཕྲག་དོག་འཇོམས། །ཏ་,K,,,,,⟶,,,,p=n d 88.89%,p བྱུང(27), ལས་བྱུང(8268), བྱུང་།_།(1325), ལས་བྱུང་།_།(401); d འབྱུང(42), ལས་འབྱུང(713), འབྱུང་།_།(1648), ལས་འབྱུང་།_།(76); n བྱུང(27), ལས་བྱུང(8268), བྱུང་།_།(1325), ལས་བྱུང་།_།(401); ,8-5_མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,10
