Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །གཉུག་མའི་ངང་ལས་མ་ཡེངས་པར། །དངོས་པོར་,སྣང་བ ར་,,སྣང་བ་,སྣང་བ ར་,སྒྱུ་མར་བལྟ། །སྒྱུ་མ་བརྫུན་པ་རྨི་ལམ་,K,p,,,,,,,,p=n d 92.31%,p སྣང་བར(4503); d སྣང་བ(317); n སྣང་བར(4503); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,10
མ་མེད་པའི་བརྡ། །ལུས་ལ་གྲུ་ཡི་བློ་,#བཞན་,,བཞག་,#བཞན་,ལ། །བཅུད་ལེན་གྱིས་ནི་ཟུངས་ཀྱང་བསྐྱེད། །,K,,,nw✓,,,,,,p=n d 92.31%,p བཞན(3); d བཞག(491), བཞག་ལ(174); n བཞན(3); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,7
ན་གཉིས་སུ་མེད། །གཉུག་མའི་ངང་ལས་མ་,གཡེངས་པ ར,,#ཡེངས་པ ར,གཡེངས་པ ར,། །དངོས་པོར་སྣང་བ་སྒྱུ་མར་བལྟ། །སྒྱུ་མ་,K,,,nw✓,,,,,,p=n d 92.31%,p གཡེངས་པར(52); d ; n གཡེངས་པར(52); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,9
རྒྱ་གར་སྐད་དུ། པཱ་ད་ཡོ་ག་པྲ་,#དྷི་ #པཾ་ ནཱ་མ,,#དཱི་ #པཾ་ ན་ མ,#དྷི་ #པཾ་ ནཱ་མ,། བོད་སྐད་དུ། རྣལ་འབྱོར་ལམ་གྱི་སྒྲོན་,K,,,,✓,,,,,p=n d 92.31%,p ; d ; n ; ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,1
དམ་པ་སྐྱེས་མཆོག་དེ་ལ་འདུད། །ཨཱ་ལི་,#ཀཱ་ ལ འི་,,ཀཱ་ལི འི་,#ཀཱ་ ལ འི་,སྒྲ་དོན་རྟོགས། །སྡེ་སྣོད་གསུམ་གྱི་དོན་ཡང་,K,,,,✓,,,,,p=n d 92.31%,p ; d ; n ; ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,3
སྒྲོན་མ་ཞེས་བྱ་བ་རྗེ་བཙུན་ཀ་མ་ལ་,#ཤྲཱིས་,,#ཤཱི་ ལས་,#ཤྲཱིས་,མཛད་པ་རྫོགས་སོ།།,K,,,,✓,,,,,p=n d 92.31%,p ཤྲཱིས(1); d ; n ཤྲཱིས(1); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,12
རྣམ་སྤངས་ཏེ། །གཅིག་པུ་ནགས་སུ་འདུག་ལ་,སྒོམ,,བསྒོམ,སྒོམ, །།འཇིག་རྟེན་འཆལ་ཚིག་མི་བརྗོད་པར། །སྔགས་,K,,,,,⟶,,,,p=n d 92.31%,p སྒོམ(123), ལ་སྒོམ(417); d བསྒོམ(1273), ལ་བསྒོམ(180); n སྒོམ(123), ལ་སྒོམ(417); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,6
བར་ཆད་བྱེད་པ་ལ། །བརྟུལ་ཞུགས་གདམས་པའི་,སྤྱོད་པ་,,སྤྱད་པ་,སྤྱོད་པ་,བྱ། །མི་ངལ་གསུམ་དང་འདུ་བ་གསུམ། །,K,,,,,≠,,,,p=n d 92.31%,p སྤྱོད་པ(809); d སྤྱད་པ(136); n སྤྱོད་པ(809); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,8
ཐོབ། །དེས་ན་རྣལ་འབྱོར་བརྩོན་པར་བྱ། །,,,སྡུག་བསྔལ་ ཞི་བ ར་ བྱེད་པ་,,རྣལ་འབྱོར་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བ་རྗེ་,K,,,,,,l,,,p=n d 92.31%,p (1), །_།(997103), རྣལ་འབྱོར(8940), །_།རྣལ་འབྱོར(2691), བྱ།_།རྣལ་འབྱོར(140); d ; n (1), །_།(997103), རྣལ་འབྱོར(8940), །_།རྣལ་འབྱོར(2691), བྱ།_།རྣལ་འབྱོར(140); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,11
ལོ། །རྣལ་འབྱོར་ལམ་གྱི་སྒྲོན་མ་འདི། །,སྟན་པ ས་,,བསྟན་པ ས་,སྟན་པ ས་,ལོག་པའི་ལམ་མི་འཇུག །སྡུག་བསྔལ་ཐམས་ཅད་,K,,,,,,≡,,,p=n d 92.31%,p ; d བསྟན་པས(161); n ; ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,2
སྡུག་བསྔལ་ཉམས་སུ་མྱོང་། །དེ་ལས་གྲོལ་བར་,བྱ་བ འི་,,བྱེད་པ འི་,བྱ་བ འི་,ཕྱིར། །རྣལ་འབྱོར་ལམ་པས་འདི་ལྟར་བྱ། །,K,,,,,,≡,,,p=n d 92.31%,p བྱ་བའི(123), བྱ་བའི་ཕྱིར(875); d བྱེད་པའི(254), བྱེད་པའི་ཕྱིར(430); n བྱ་བའི(123), བྱ་བའི་ཕྱིར(875); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,4
ཏེ། །དགེ་བའི་ཆོས་ལ་བརྩོན་པར་བྱ། །,དཀའ་,,བཀའ་,དཀའ་,ལ་སོམ་ཉི་མི་ཟ་ཞིང་། །རྟག་ཏུ་སྐྱབས་,K,,,,,,≡,,,p=n d 92.31%,p དཀའ(528), དཀའ་ལ(41), །_།དཀའ(300); d བཀའ(36), བཀའ་ལ(84), །_།བཀའ(972); n དཀའ(528), དཀའ་ལ(41), །_།དཀའ(300); ,8-8_རྣལ་འབྱོར་ལམ་གྱི་སྒྲོལ་མ།,5
