Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ནི་སྐལ་བ་དང་ལྡན་པའི་གཞི་ཞེས་བྱའོ།།,འདི་,དེ་,དེ་,འདི་,ལ་བྱང་ཆུབ་སེམས་དཔའ་ནི་དང་པོ་སེམས་བསྐྱེད་,K,g,,,,,,,,c=d p=n 86.67%,c དེ(1), དེ་ལ(763); p འདི(1651), འདི་ལ(173); d དེ(1), དེ་ལ(763); n འདི(1651), འདི་ལ(173); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,1
བ་ལ་ཞུགས་པ་དང་།དེ་ལྟ་བུ་དག་,ལས་,ལ་,ལ་,ལས་,ཞུགས་པ་ལས་མྱུར་བ་མྱུར་བར་འདོད་ཆགས་དང་,K,g,,,,,,,,c=d p=n 86.67%,c ལ(33965), དག་ལ(672), ལ་ཞུགས་པ(187); p ལས(5885), དག་ལས(2911); d ལ(33965), དག་ལ(672), ལ་ཞུགས་པ(187); n ལས(5885), དག་ལས(2911); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,25
འདུས་ཤིང་ཟ་བ་རྣམས་དང་།དེ་ལྟ་བུ་,ལ་,དང་,དང་,ལ་,མཐུན་པ་དག་ལ་གྲོགས་བྱེད་དུ་འགྲོ་བར་བྱེད་,K,g,,,,,,,,c=d p=n 86.67%,c དང(18517), དང་མཐུན་པ(495), དེ་ལྟ་བུ་དང(429), དེ་ལྟ་བུ་དང་མཐུན་པ(55); p ལ(33965), དེ་ལྟ་བུ་ལ(304); d དང(18517), དང་མཐུན་པ(495), དེ་ལྟ་བུ་དང(429), དེ་ལྟ་བུ་དང་མཐུན་པ(55); n ལ(33965), དེ་ལྟ་བུ་ལ(304); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,48
དཔའ་ནི་ཆོས་ཀྱི་དོན་ལ་ངེས་པར་སེམས་པ་,ནི་,ན་,ན་,ནི་,རང་བཞིན་གྱིས་གཡེང་བ་མི་མང་བ་དང་,K,g,,,,,,,,c=d p=n 86.67%,c ན(73509), ན་རང་བཞིན(97); p ནི(44237), སེམས་པ་ནི(89), ནི་རང་བཞིན(1148); d ན(73509), ན་རང་བཞིན(97); n ནི(44237), སེམས་པ་ནི(89), ནི་རང་བཞིན(1148); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,61
གནས་པར་འགྱུར་བའམ།ཞུགས་པར་གྱུར་པའི་མཐུ་,དེ་ལྟ་བུ་,འདི་ལྟ་བུ་,འདི་ལྟ་བུ་,དེ་ལྟ་བུ་,དེ་དང་།ཆོ་འཕྲུལ་དེ་ལྟ་བུ་དེ་མཐོང་,K,g,,,,,,,,c=d p=n 86.67%,c འདི་ལྟ་བུ(70); p དེ་ལྟ་བུ(5151), དེ་ལྟ་བུ་དེ(382); d འདི་ལྟ་བུ(70); n དེ་ལྟ་བུ(5151), དེ་ལྟ་བུ་དེ(382); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,97
དྲག་བོ་བར་ཆད་མེད་པས་ཀྱང་མི་འཇིགས་པ་,དེ་,འདི་,འདི་,དེ་,ནི་བྱང་ཆུབ་སེམས་དཔའི་སེམས་སྐྱེ་བའི་རྒྱུ་བཞི་,K,g,,,,,,,,c=d p=n 86.67%,c འདི(1651), འདི་ནི(23970); p དེ(1), དེ་ནི(35963), འཇིགས་པ་དེ(84); d འདི(1651), འདི་ནི(23970); n དེ(1), དེ་ནི(35963), འཇིགས་པ་དེ(84); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,114
ལས་འདུན་པ་བཟློག་ལ།བསམས་པ་ལས་བྱུང་བ་,ལས་,ལ་,ལ་,ལས་,འཇུག་པའམ།བསམས་པ་ལས་བྱུང་བ་ལས་འདུན་པ་,K,g,,,,,,,,c=d p=n 86.67%,c ལ(33965), ལ་འཇུག་པ(92), བྱུང་བ་ལ(346); p ལས(5885), བྱུང་བ་ལས(79); d ལ(33965), ལ་འཇུག་པ(92), བྱུང་བ་ལ(346); n ལས(5885), བྱུང་བ་ལས(79); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,118
པར་དགའ་བ་རྣམས་ཀྱང་བུད་མེད་ཀྱི་དངོས་པོ་,ལ་,ལས་,ལས་,ལ་,འདུན་པ་བཟློག་པ་དང་།ཕོའི་དབང་པོ་བཅད་,K,g,,,,,,,,c=d p=n 86.67%,c ལས(5885), དངོས་པོ་ལས(85); p ལ(33965), ལ་འདུན་པ(155), དངོས་པོ་ལ(189); d ལས(5885), དངོས་པོ་ལས(85); n ལ(33965), ལ་འདུན་པ(155), དངོས་པོ་ལ(189); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,228
པ་དྲག་པོར་གྱུར་པ་གང་ཡིན་པ་དང་།,དེ་དག་,དེ་ དང་,དེ་ དང་,དེ་དག་,ཆོས་མཐུན་པར་སྤྱོད་པ་མཐོང་ན།མངོན་པར་,K,g,,,,,,,,c=d p=n 86.67%,c དེ་དང(64); p དེ་དག(179), །དེ་དག(140), དེ་དག་ཆོས(361); d དེ་དང(64); n དེ་དག(179), །དེ་དག(140), དེ་དག་ཆོས(361); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,235
ལ་གུས་པ་དང་།བྱས་པ་གཟོ་བར་གྱུར་,ན,ནས,ནས,ན,།བཀུར་སྟི་དང་།གུས་པ་དང་བཅས་པས་,K,g,,,,,,,,c=d p=n 86.67%,c ནས(35333), ནས།(294), གྱུར་ནས(3334); p ན(73509), ན།(974), གྱུར་ན(3227); d ནས(35333), ནས།(294), གྱུར་ནས(3334); n ན(73509), ན།(974), གྱུར་ན(3227); ,9-10_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།,243
