Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གསུམ་པ་ལྟ་བུའོ།།ཅི་དངོས་པོ་ལྔ་པོ་,དེ་དག་,དེ་དག་,དེ་དག་,འདི་དག་,གིས་ཆོས་ཐམས་ཅད་བསྡུས་པ་ཡིན་ནམ།འོན་,K,g,,,,,,,,c=p=d n 12.24%,c དེ་དག(179), དེ་དག་གིས(272), ལྔ་པོ་དེ་དག(357); p དེ་དག(179), དེ་དག་གིས(272), ལྔ་པོ་དེ་དག(357); d དེ་དག(179), དེ་དག་གིས(272), ལྔ་པོ་དེ་དག(357); n འདི་དག(113), འདི་དག་གིས(86), ལྔ་པོ་འདི་དག(212); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,110
ནས་ཉོན་མོངས་པ་ལྡོག་པ་ཡང་རུང་སྟེ།,དེ་,དེ་,དེ་,འདི་,ནི་འཕགས་པའི་ཡེ་ཤེས་ཀྱིས་དམིགས་པ་ཡིན་པས,K,g,,,,,,,,c=p=d n 12.24%,c དེ(1), །དེ(1239), དེ་ནི(35963), །དེ་ནི(108), སྟེ།དེ་ནི(44); p དེ(1), །དེ(1239), དེ་ནི(35963), །དེ་ནི(108), སྟེ།དེ་ནི(44); d དེ(1), །དེ(1239), དེ་ནི(35963), །དེ་ནི(108), སྟེ།དེ་ནི(44); n འདི(1651), །འདི(308), འདི་ནི(23970); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,139
བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་ལས་དགོངས་ནས།གཟུགས་,ནི་,ན་,ན་,ནི་,ཡོད་eདོ།།རྣམ་པར་ཤེས་པའི་བར་ཡང་ཡོད་,K,g,,,,,,,,c=d p=n 83.97%,c ན(73509), ན་ཡོད(781), གཟུགས་ན(158); p ནི(44237), ནི་ཡོད(540), གཟུགས་ནི(1180); d ན(73509), ན་ཡོད(781), གཟུགས་ན(158); n ནི(44237), ནི་ཡོད(540), གཟུགས་ནི(1180); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,209
།དོན་དམ་པ་ངོ་བོ་ཉིད་མེད་པ་ཉིད་,ལ་,ལས་,ལས་,ལ་,དགོངས་ཏེ་གསུངས་སོ།།བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་,K,g,,,,,,,,c=d p=n 83.97%,c ལས(5885), ཉིད་ལས(2755), ལས་དགོངས(125); p ལ(33965), ཉིད་ལ(379), ལ་དགོངས(495); d ལས(5885), ཉིད་ལས(2755), ལས་དགོངས(125); n ལ(33965), ཉིད་ལ(379), ལ་དགོངས(495); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,210
ངོ་བོ་ཉིད་དུ་ཡོངས་སུ་རྟོག་པ་ནི་དེ་,ལ་,ལས་,ལས་,ལ་,བཟློག་པ་ལས་རིག་པར་བྱའོ།།དེ་ལ་ཀུན་,K,g,,,,,,,,c=d p=n 83.97%,c ལས(5885), དེ་ལས(5447), ལས་བཟློག་པ(67); p ལ(33965), དེ་ལ(763); d ལས(5885), དེ་ལས(5447), ལས་བཟློག་པ(67); n ལ(33965), དེ་ལ(763); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,248
ཡོངས་སུ་ཚོལ་བར་བྱེད་པའི་ཚེ།མ་རྙེད་པ་,ན་,ནི་,ནི་,ན་,མི་དགའ་བ་མེད་པ་དང་།ཚོར་བ་དང་,K,g,,,,,,,,c=d p=n 83.97%,c ནི(44237), ནི་མི(4953), རྙེད་པ་ནི(69); p ན(73509), ན་མི(2653); d ནི(44237), ནི་མི(4953), རྙེད་པ་ནི(69); n ན(73509), ན་མི(2653); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,262
དེ་ལྟར་རྣམ་པ་དེ་དག་མི་རིགས་པ་ཡིན་,ན,ན,ན,ནི,།ཇི་ལྟར་ཤེས་རབ་དེ་རྣམ་པར་མི་རྟོག་,K,g,,,,,,,,c=p=d n 12.24%,c ན(73509), ན།(974), ཡིན་ན(1581); p ན(73509), ན།(974), ཡིན་ན(1581); d ན(73509), ན།(974), ཡིན་ན(1581); n ནི(44237), ནི།(110), ཡིན་ནི(64); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,339
ཕྱིར་ཏེ།དེ་དེ་ལྟ་མ་ཡིན་དུ་ཟིན་,ན་,ཏེ་,ཏེ་,ན་,གནས་གྱུར་བ་དེ་ལ་མ་བརྟེན་པར་རྐྱེན་ཚོགས་,K,g,,,,,,,,c=d p=n 83.97%,c ཏེ(80365), ཏེ་གནས(58), ཟིན་ཏེ(50); p ན(73509), ན་གནས(199), ཟིན་ན(233); d ཏེ(80365), ཏེ་གནས(58), ཟིན་ཏེ(50); n ན(73509), ན་གནས(199), ཟིན་ན(233); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,344
ལྟར་རྒྱུ་དང་འབྲས་བུ་ལས་ཤེ་ན།འདི་,ལ་,ལ་,ལ་,དེ་,ལྷ་ཉིད་ནི་ལྷ་ཉིད་དུ་འགྱུར་བའི་ལས་ཀྱིས་,K,g,,,,,,,,c=p=d n 12.24%,c ལ(33965), ལ་ལྷ(797), འདི་ལ(173); p ལ(33965), ལ་ལྷ(797), འདི་ལ(173); d ལ(33965), ལ་ལྷ(797), འདི་ལ(173); n དེ(1), དེ་ལྷ(192), འདི་དེ(382); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,371
པའི་ཉེ་བའི་ཉོན་མོངས་པ་ནང་དང་ཕྱི་རོལ་,ལས་,ལ་,ལ་,ལས་,བརྟེན་པ་རྣམ་པ་བཅུ་ཡོད་དེ།དེ་དག་,K,g,,,,,,,,c=d p=n 83.97%,c ལ(33965), རོལ་ལ(231), ལ་བརྟེན་པ(145); p ལས(5885); d ལ(33965), རོལ་ལ(231), ལ་བརྟེན་པ(145); n ལས(5885); ,9-12_རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།,519
