Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བ་རེ་རེ་བྱུང་བ།རང་གི་ས་བོན་,ལ་,ལས་,ལས་,ལ་,ངེས་པར་འབྱུང་བ།མཚུངས་པར་ལྡན་པ།,K,g,,,,,,,,c=d p=n 85.88%,c ལས(5885), ས་བོན་ལས(132), ལས་ངེས་པར(390); p ལ(33965), ས་བོན་ལ(110), ལ་ངེས་པར(704); d ལས(5885), ས་བོན་ལས(132), ལས་ངེས་པར(390); n ལ(33965), ས་བོན་ལ(110), ལ་ངེས་པར(704); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,29
བར་འདོད་ན་ནི་དེ་བུད་མེད་དེ་ལ་ཆགས་,ནས་,ན་,ན་,ནས་,ཉལ་བར་འདོད་པ་སྐྱེ་བར་འགྱུར་རོ།།དེ་,K,g,,,,,,,,c=d p=n 85.88%,c ན(73509), ན་ཉལ(107), ཆགས་ན(407); p ནས(35333), ནས་ཉལ(63), ཆགས་ནས(108); d ན(73509), ན་ཉལ(107), ཆགས་ན(407); n ནས(35333), ནས་ཉལ(63), ཆགས་ནས(108); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,124
དུ་རླུང་དག་འབྱུང་བར་འགྱུར་ཏེ།དེ་དག་,གིས་,ནི་,ནི་,གིས་,དེ་ལ་གནོད་པ་སྐྱེད་པར་བྱེད་དོ།།དེའི་ལས་,K,g,,,,,,,,c=d p=n 85.88%,c ནི(44237), ནི་དེ(8942), དེ་དག་ནི(569), དེ་དག་ནི་དེ(407), དེ་དག་ནི་དེ་ལ(40); p གིས(2588), གིས་དེ(2666), དེ་དག་གིས(272), དེ་དག་གིས་དེ(738), དེ་དག་གིས་དེ་ལ(97); d ནི(44237), ནི་དེ(8942), དེ་དག་ནི(569), དེ་དག་ནི་དེ(407), དེ་དག་ནི་དེ་ལ(40); n གིས(2588), གིས་དེ(2666), དེ་དག་གིས(272), དེ་དག་གིས་དེ(738), དེ་དག་གིས་དེ་ལ(97); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,179
ཉི་ཤུར་ནི་ཆགས་ནས་གནས་སོ།།དེ་དག་,གི་,ནི་,ནི་,གི་,བར་གྱི་བསྐལ་པ་བརྒྱད་ཅུར་འགྱུར་ཏེ།དེ་ནི་གྲངས་གྱི་གདགས་པས་,K,g,,,,,,,,c=d p=n 85.88%,c ནི(44237), ནི་བར(275), དེ་དག་ནི(569); p གི(1276), གི་བར(2062), དེ་དག་གི(105), དེ་དག་གི་བར(47); d ནི(44237), ནི་བར(275), དེ་དག་ནི(569); n གི(1276), གི་བར(2062), དེ་དག་གི(105), དེ་དག་གི་བར(47); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,203
བར་གྱི་བསྐལ་པ་ཉི་ཤུ་པོ་དེ་དག་འདས་,ན་,ནས་,ནས་,ན་,ཡང་སེམས་ཅན་རྣམས་ཀྱི་འཆགས་པར་འགྱུར་བའི་ལས་,K,g,,,,,,,,c=d p=n 85.88%,c ནས(35333), ནས་ཡང(2960), འདས་ནས(1272); p ན(73509), ན་ཡང(7917), འདས་ན(256); d ནས(35333), ནས་ཡང(2960), འདས་ནས(1272); n ན(73509), ན་ཡང(7917), འདས་ན(256); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,238
རིས་བཞི་པོ་དག་གི་གཞལ་མེད་ཁང་ནམ་མཁའ་,ལ་,ལས་,ལས་,ལ་,འབྱུང་བར་འགྱུར་ཏེ།གཞལ་མེད་ཁང་དེ་དག་,K,g,,,,,,,,c=d p=n 85.88%,c ལས(5885), ནམ་མཁའ་ལས(363), ལས་འབྱུང་བ(181); p ལ(33965), ནམ་མཁའ་ལ(65), ལ་འབྱུང་བ(106); d ལས(5885), ནམ་མཁའ་ལས(363), ལས་འབྱུང་བ(181); n ལ(33965), ནམ་མཁའ་ལ(65), ལ་འབྱུང་བ(106); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,241
གཞལ་མེད་ཁང་དེ་དག་ཐམས་ཅད་ཀྱང་ནམ་མཁའ་,ལ་,ལས་,ལས་,ལ་,སྤྲུལ་པ་བཞིན་དུ་འབྱུང་བར་བལྟ་བར་བྱའོ།།,K,g,,,,,,,,c=d p=n 85.88%,c ལས(5885), ནམ་མཁའ་ལས(363); p ལ(33965), ནམ་མཁའ་ལ(65); d ལས(5885), ནམ་མཁའ་ལས(363); n ལ(33965), ནམ་མཁའ་ལ(65); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,242
གཉིས་ཏེ།འོག་གཞིར་གནས་པ་དང་།གློ་,ནས་,ན་,ན་,ནས་,གནས་པ་སྟེ།དེས་ཆུ་དེ་དག་ཐད་ཀར་,K,g,,,,,,,,c=d p=n 85.88%,c ན(73509), ན་གནས་པ(1603); p ནས(35333), ནས་གནས་པ(95); d ན(73509), ན་གནས་པ(1603); n ནས(35333), ནས་གནས་པ(95); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,243
སེམས་ཅན་གང་དག་དྲོད་གཤེར་གང་ཡང་རུང་བ་,ལ་,ལ་,ལ་,ལས་,བརྟེན་ནས་སྐྱེ་བ་རྣམས་ཏེ།དེ་དག་ཀྱང་,K,g,,,,,,,,c=p=d n 7.42%,c ལ(33965), རུང་བ་ལ(150), ལ་བརྟེན(91); p ལ(33965), རུང་བ་ལ(150), ལ་བརྟེན(91); d ལ(33965), རུང་བ་ལ(150), ལ་བརྟེན(91); n ལས(5885), ལས་བརྟེན(171); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,300
འདུས་པ་དེ་ཡང་མདོར་བསྡུ་ན།གནས་དྲུག་,ལས་,ལ་,ལ་,ལས་,བརྟེན་ནས་འཇུག་སྟེ།གཞིའི་གནས་དང་།རྟེན་,K,g,,,,,,,,c=d p=n 85.88%,c ལ(33965), དྲུག་ལ(1063), ལ་བརྟེན(91); p ལས(5885), དྲུག་ལས(176), ལས་བརྟེན(171); d ལ(33965), དྲུག་ལ(1063), ལ་བརྟེན(91); n ལས(5885), དྲུག་ལས(176), ལས་བརྟེན(171); ,9-20_རྣམ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,368
