Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པ་གང་ཡིན་པའོ། །དཔྱོད་པ་ནི་དཔྱོད་པའི་ཡིད་,ལས་,ལ་,ལ་,ལས་,བྱེད་པས་སྤངས་པ་དང་། མ་སྤངས་པ་དང་,K,g,,,,,,,,c=d p=n 83.60%,c ལ(33965), ཡིད་ལ(11615), ལ་བྱེད་པ(2324), ཡིད་ལ་བྱེད་པ(2238), ཡིད་ལ་བྱེད་པས(205); p ལས(5885), ཡིད་ལས(200), ལས་བྱེད་པ(46); d ལ(33965), ཡིད་ལ(11615), ལ་བྱེད་པ(2324), ཡིད་ལ་བྱེད་པ(2238), ཡིད་ལ་བྱེད་པས(205); n ལས(5885), ཡིད་ལས(200), ལས་བྱེད་པ(46); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,24
པའི་ཆོས་རབ་ཏུ་རྣམ་པར་འབྱེད་པ་སྟེ། ,དེ་ལྟར་,འདི་ལྟར་,འདི་ལྟར་,དེ་ལྟར་,དེ་ལ་བརྟེན་ནས་སྔ་མ་གཉིས་འབྱེད་པར་བྱེད་,K,g,,,,,,,,c=d p=n 83.60%,c འདི་ལྟར(49), །_འདི་ལྟར(4557), འདི་ལྟར་དེ(842), །_འདི་ལྟར་དེ(457), །_འདི་ལྟར་དེ་ལ(114); p དེ་ལྟར(32495), །_དེ་ལྟར(10367), དེ་ལྟར་དེ(1030), །_དེ་ལྟར་དེ(165); d འདི་ལྟར(49), །_འདི་ལྟར(4557), འདི་ལྟར་དེ(842), །_འདི་ལྟར་དེ(457), །_འདི་ལྟར་དེ་ལ(114); n དེ་ལྟར(32495), །_དེ་ལྟར(10367), དེ་ལྟར་དེ(1030), །_དེ་ལྟར་དེ(165); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,89
བརྒྱུད་པ་མཐོང་བ་སྟེ། སྐད་ཅིག་བརྒྱུད་པ་,ནི་,ན་,ན་,ནི་,དཔེར་ན་མངོན་སུམ་པ་དང་། གཞན་གྱི་དྲིང་,K,g,,,,,,,,c=d p=n 83.60%,c ན(73509); p ནི(44237), ནི་དཔེར་ན(219); d ན(73509); n ནི(44237), ནི་དཔེར་ན(219); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,125
སོགས་པ་སྐྱེས་བུ་དམ་པ་མ་ཡིན་པ་དག་,དང་,དག་,དག་,དང་,ཀུན་ཏུ་བསྟེན་པའི་ཕྱིར་རོ། །མི་གཡོ་བ་,K,g,,,,,,,,c=d p=n 83.60%,c དག(5192), དག་ཀུན(151), ཡིན་པ་དག(276); p དང(18517), དང་ཀུན(611), ཡིན་པ་དང(128); d དག(5192), དག་ཀུན(151), ཡིན་པ་དག(276); n དང(18517), དང་ཀུན(611), ཡིན་པ་དང(128); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,194
ལྷག་པར་ཆགས་པའི་སྒོ་ནས་རྣམ་པར་འགྱུར་བ་,ལས་,ལ་,ལ་,ལས་,སྐྱེས་པའི་སྡུག་བསྔལ་གྱིས་རེག་པའོ། །མཁས་པ་,K,g,,,,,,,,c=d p=n 83.60%,c ལ(33965), ལ་སྐྱེས་པ(144), འགྱུར་བ་ལ(171); p ལས(5885), འགྱུར་བ་ལས(86), ལས་སྐྱེས་པ(99); d ལ(33965), ལ་སྐྱེས་པ(144), འགྱུར་བ་ལ(171); n ལས(5885), འགྱུར་བ་ལས(86), ལས་སྐྱེས་པ(99); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,210
མ་ཕྱི་མ་བཤད་པ་ཡིན་ཏེ། དེ་དག་,ནི་,གི་,གི་,ནི་,ངེས་པར་བྱུང་བར་བྱ་བའི་ཕྱིར་ཡོངས་སུ་བསྟན་ཏོ,K,g,,,,,,,,c=d p=n 83.60%,c གི(1276), དེ་དག་གི(105); p ནི(44237), དེ་དག་ནི(569), ནི་ངེས་པར(471); d གི(1276), དེ་དག་གི(105); n ནི(44237), དེ་དག་ནི(569), ནི་ངེས་པར(471); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,223
སུ་བསྟན་ཏོ། །འཕགས་པའི་བདེན་པ་བཞི་ཤེས་,ན་,ནས་,ནས་,ན་,ཡང་དག་པའི་ལྟ་བ་དུས་ཐམས་ཅད་དུ་སྐྱེའོ་,K,g,,,,,,,,c=d p=n 83.60%,c ནས(35333), ཤེས་ནས(1122), ནས་ཡང་དག་པ(111); p ན(73509), ཤེས་ན(1069), ན་ཡང་དག་པ(58); d ནས(35333), ཤེས་ནས(1122), ནས་ཡང་དག་པ(111); n ན(73509), ཤེས་ན(1069), ན་ཡང་དག་པ(58); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,225
སྐྱེད་པར་བྱེད་པ་ནི་གང་དག་གིས་མ་ཐོབ་པ་,ལས་,ལ་,ལ་,ལས་,རབ་ཏུ་བརྩོན་པ་རྣམས་སོ། །ཀུན་ཏུ་བསྟེན་,K,g,,,,,,,,c=d p=n 83.60%,c ལ(33965), ཐོབ་པ་ལ(144), ལ་རབ་ཏུ(4593); p ལས(5885), ཐོབ་པ་ལས(41), ལས་རབ་ཏུ(761); d ལ(33965), ཐོབ་པ་ལ(144), ལ་རབ་ཏུ(4593); n ལས(5885), ཐོབ་པ་ལས(41), ལས་རབ་ཏུ(761); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,229
བྱ་བ་ནི་ཆགས་པ་བརྒྱད་དེ། ཞིག་པ་,ལ་,ལས་,ལས་,ལ་,མྱ་ངན་དུ་གྱུར་པ་དང་། ད་ལྟར་གྱིས་,K,g,,,,,,,,c=d p=n 83.60%,c ལས(5885); p ལ(33965), ལ་མྱ་ངན(255); d ལས(5885); n ལ(33965), ལ་མྱ་ངན(255); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,286
ཡིན་པ་ཡང་མི་རྙེད་ན་ཞེས་བྱ་བ་ནི་,དེ་དག་,དེ་དག་,དེ་དག་,དེ་ དང་,དུས་གཞན་དུ་མི་གནས་པའོ། །སྙིང་པོ་ལྟ་,K,g,,,,,,,,c=p=d n 12.47%,c དེ་དག(179), ནི་དེ་དག(590), དེ་དག་དུས(55); p དེ་དག(179), ནི་དེ་དག(590), དེ་དག་དུས(55); d དེ་དག(179), ནི་དེ་དག(590), དེ་དག་དུས(55); n དེ་དང(64), ནི་དེ་དང(94); ,9-24_རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།,312
