Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཆོས་བླ་ན་མེད་པ་བརྙེས་པར་བྱེད་པར་འགྱུར་,རོ་,,རོ་,,ཞེས་གསུངས་སོ། །རིགས་པ་ནི་མྱ་ངན་ལས་,K,p,,,,,,,,p=d n 20.00%,p རོ(11376), རོ་ཞེས(2244), འགྱུར་རོ(2600), འགྱུར་རོ་ཞེས(1813), འགྱུར་རོ་ཞེས་གསུངས(192); d རོ(11376), རོ་ཞེས(2244), འགྱུར་རོ(2600), འགྱུར་རོ་ཞེས(1813), འགྱུར་རོ་ཞེས་གསུངས(192); n (1), ཞེས(1047), འགྱུར(31151), འགྱུར་ཞེས(574); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,3
། །རིགས་པ་ནི་མྱ་ངན་ལས་འདས་པའི་ཆོས་,སོ་,,སོ་,,ཞེས་བྱ་བའི་དོན་ཏོ། །ངེས་པར་འབྱུང་བས་,K,p,,,,,,,,p=d n 20.00%,p སོ(40406), ཆོས་སོ(331), སོ་ཞེས་བྱ་བ(745); d སོ(40406), ཆོས་སོ(331), སོ་ཞེས་བྱ་བ(745); n (1), ཆོས(602), ཞེས་བྱ་བ(535), ཆོས་ཞེས་བྱ་བ(116); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,4
བསྟན་པ་ནི། ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་,ལྟ་བ ར་,,ལྟ་བ་,ལྟ་བ ར་,ཞུགས་པ་ཡིན་ནོ། །དེ་ལ་ཞུགས་པ་ནས་,K,p,,,,,,,,p=n d 72.00%,p ལྟ་བར(127), རྗེས་སུ་ལྟ་བར(241); d ལྟ་བ(239), རྗེས་སུ་ལྟ་བ(96); n ལྟ་བར(127), རྗེས་སུ་ལྟ་བར(241); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,5
བརྒྱད་དོ། །གང་ཟག་མེད་པའི་ཆོས་ཐོས་པས་,བསགས་པ ས་,,བསགས་པ་,བསགས་པ ས་,གང་ཞིག་ཉོན་མོངས་པ་དང་། ཉེ་བའི་ཉོན་,K,p,,,,,,,,p=n d 72.00%,p བསགས་པས(184); d བསགས་པ(115); n བསགས་པས(184); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,12
བཤད་མ་ཐག་པ་དེ་དག་ལ་བཅོམ་ལྡན་འདས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ཉན་ཐོས་ཞེས་བྱའོ། །སངས་རྒྱས་བཅོམ་ལྡན་འདས་,K,p,,,,,,,,p=n d 72.00%,p ཀྱིས(6156), ཀྱིས་ཉན་ཐོས(86), བཅོམ་ལྡན་འདས་ཀྱིས(70); d ཀྱི(5256), ཀྱི་ཉན་ཐོས(328), བཅོམ་ལྡན་འདས་ཀྱི(6597), བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས(184); n ཀྱིས(6156), ཀྱིས་ཉན་ཐོས(86), བཅོམ་ལྡན་འདས་ཀྱིས(70); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,13
ལྡན་པ་ཞེས་བྱ་བའི་དོན་ཏོ། །ཤེས་རབ་,ཀྱི་,,,ཀྱི་,ཕུན་སུམ་ཚོགས་པ་ཞེས་བྱ་བ་ནི་བདེན་པ་,K,p,,,,,,,,p=n d 72.00%,p ཀྱི(5256), ཤེས་རབ་ཀྱི(34084), ཀྱི་ཕུན་སུམ(53); d (1), ཤེས་རབ(44635), ཕུན་སུམ(4393); n ཀྱི(5256), ཤེས་རབ་ཀྱི(34084), ཀྱི་ཕུན་སུམ(53); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,15
མངོན་སུམ་དུ་བྱས་པ་ལ་འཇིག་རྟེན་མཐོང་བ་,ཞེས་བྱ་བ་,,ཞེས་བྱ་བ ར་,ཞེས་བྱ་བ་,གྲགས་ཏེ། དེ་ཉིད་ནི་ཡེ་ཤེས་སོ། །,K,p,,,,,,,,p=n d 72.00%,p ཞེས་བྱ་བ(535); d ཞེས་བྱ་བར(13889), ཞེས་བྱ་བར་གྲགས(84); n ཞེས་བྱ་བ(535); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,19
། །སྦྱིན་པ་བཏང་ཞིང་ཡོན་ཕུལ་བ། །དེ་,ཡིས་,,ཡི་,ཡིས་,མཆོད་སྦྱིན་ལེགས་པར་བྱས། །ཚོགས་ཀྱི་མཆོག་ལ་,K,p,,,,,,,,p=n d 72.00%,p ཡིས(7433), དེ་ཡིས(1499), ཡིས་མཆོད(73); d ཡི(8322), དེ་ཡི(6810), ཡི་མཆོད(108); n ཡིས(7433), དེ་ཡིས(1499), ཡིས་མཆོད(73); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,22
མ་གྱུར་པ་དེ་སྲིད་དུ་དགྲ་བཅོམ་པ་ལ་,ཞུགས་,,ཞུགས་པ་,ཞུགས་,ཞེས་བྱའོ། །སྲིད་པའི་རྩེ་མོའི་ཉོན་མོངས་པ་,K,,པ་བ་,,,,s,,,p=n d 72.00%,p ཞུགས(471), ལ་ཞུགས(80); d ཞུགས་པ(625), ལ་ཞུགས་པ(187), ཞུགས་པ་ཞེས(150); n ཞུགས(471), ལ་ཞུགས(80); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,9
,#གྷཱ་,,ཨ་,#གྷཱ་,ནུ་སྨྲྀ་ཏི་བྱཱ་ཁྱཱ། བོད་སྐད་དུ། ,K,,,,✓,,,,,p=n d 72.00%,p གྷཱ(2); d ཨ(188), ཨ་ནུ(278); n གྷཱ(2); ,9-5_དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,1
